الجزيئية	molecular
الفنلندية	finnish
مقبولة	accepted
ضرورية	necessary
عميق	deep
طويلا	long
قريبا	soon
ابتدائية	elementary
ميجا	mega
مدرجة	listed
معتمدة	certified
معتمدة	approved
معتمدة	accredited
مؤقتة	temporary
محمولة	portable
حكيم	wise
يوناني	greek
مفيد	useful
مفيد	helpful
مفيد	handy
رقيقة	thin
سنوية	yearly
سنوية	annual
الهاشمية	hashemite
مفصل	detailed
سرقة	stealing
ذرية	atomic
البني	brown
الحركية	kinetic
المميز	featured
جراحية	surgical
اليومي	daily
دبلوماسية	diplomatic
غواتيمالا	guatemalan
يونانية	greek
عميقة	deep
مماثل	identical
عنيفة	violent
المحسن	improved
صحي	healthy
عصبي	nervous
جزئي	partial
الكلاسيكي	classical
تلقائي	automatic
البعيد	distant
البعيد	remote
مترجم	subtitled
عال	high
عال	loud
مريض	sick
مثيرة	sexy
مثيرة	exciting
بورما	burmese
الجيولوجية	geological
رمزي	symbolic
القبلية	tribal
ريفية	rural
منفصل	separated
منفصل	separate
بديلة	alternative
الانتقالية	transitional
الناجحة	successful
موحدة	standardized
الالكترونية	electronic
شمسي	solar
ظاهر	visible
ظاهر	apparent
ميكانيكية	mechanical
المرجح	weighted
تهديد	threatening
بالضبط	exactly
شمسية	solar
تاريخيا	historically
سامة	toxic
سامة	poisonous
واقعية	realistic
نشطة	active
سلمية	peaceful
ثانوي	secondary
غني	rich
ذكية	smart
دوما	always
ضروري	necessary
موثوقة	reliable
بشري	human
العلاجية	therapeutic
معماري	architectural
خشبية	wooden
قضائية	judicial
مستقرة	stable
متفرقة	scattered
مكتوم	muted
مكتوم	muffled
شخصيا	personally
المرتبط	associated
ذهبي	golden
مسبق	prior
مسبق	advanced
لغوية	linguistic
ثالثة	third
سويدي	swedish
مزدوج	double
مصنوع	made
المستحيل	impossible
ساكن	static
شهيرة	famous
المدرعة	armored
المدرعة	armoured
طبعا	sure
مهددة	threatened
جزئية	partial
تذكارية	commemorative
منهجية	systematic
منهجية	methodical
السويسرية	swiss
زائد	excessive
ضيقة	tight
تلقائيا	automatic
تلقائيا	automatically
معتمد	accredited
معتمد	certified
الاعلى	higher
العماني	omani
دائري	circular
المكسيكي	mexican
مدرعة	armored
مدرعة	armoured
مطلوب	needed
مطلوب	required
مطلوب	wanted
مترجمة	translated
المفصل	detailed
معتدل	moderate
رفيع	thin
رائدة	pioneering
عشوائية	random
البولندي	polish
سنوي	yearly
سنوي	annual
المؤمن	insured
مادية	materialistic
غامضة	mysterious
زامبيا	zambian
جارية	ongoing
الاسلامية	islamic
البركانية	volcanic
الحرجة	critical
عريض	wide
عريض	bold
عريض	broad
برية	wild
متكررة	recurrent
متكررة	frequent
سويسري	swiss
الحضري	urban
مختلفين	different
الاصطناعي	artificial
متكامل	integrated
مقدسة	sacred
كثيفة	dense
الجيولوجي	geological
ببطء	slowly
الباكستانية	pakistani
دستورية	constitutional
اكبر	bigger
رقمي	digital
هالة	anomaly
مزدوجة	double
الاستراتيجي	strategic
الالكتروني	electronic
الاتحادي	federal
حراري	thermal
العملي	practical
قادرين	able
قادرين	capable
مناهضة	resistance
اسفل	down
متطورة	sophisticated
قاسية	harsh
تقليدي	traditional
بالتحديد	specifically
حقا	really
نبيلة	noble
متكرر	repetitive
متكرر	recurrent
متكرر	frequent
فارغة	empty
فارغة	blank
خطية	written
خطية	linear
سعيدة	happy
المنبع	source
المعرفية	cognitive
تحديدا	specifically
محفوظة	reserved
مستقيم	straight
المتزايد	growing
محليا	locally
مكسيكي	mexican
السلمية	peaceful
الكونية	cosmic
فورا	immediately
النرويجية	norwegian
النسبي	relative
اواخر	late
سياسيا	politically
ودية	friendly
هندوراس	honduran
المعدية	infectious
المعدية	contagious
غراند	grand
لاتينية	latin
لاتينية	latina
الكلوي	renal
متزوجة	married
مطلقة	divorced
مطلقة	absolute
كروية	spherical
الكهرومغناطيسية	electromagnetic
