ханау	hanau
салон	lounge
салон	saloon
салон	salon
мюсюлмански	muslim
вероятност	likelihood
вероятност	probability
механизми	mechanisms
господство	domination
уреди	appliances
уреди	tools
съюзник	ally
вожд	chieftain
намерение	intention
намерение	intent
концентрация	concentration
концентрация	focus
падеж	maturity
лодки	boats
вярвания	beliefs
сливане	merger
сливане	merge
фабриката	factory
ада	hell
поставяне	placement
поставяне	paste
борец	fighter
борец	wrestler
опозицията	opposition
заявки	requests
заявки	nominations
наследството	inheritance
финанси	finance
финанси	finances
йон	ion
съединението	unity
съединението	compound
лекарства	medicine
лекарства	drugs
лекарства	medicines
правилото	rule
туберкулоза	tb
туберкулоза	tuberculosis
подводници	submarines
подводници	subs
будизма	buddhism
компонент	component
делта	delta
лятно	summer
лятно	summertime
покрив	rooftop
покрив	roof
диоксид	dioxide
езерата	lakes
конструкции	constructions
конструкции	structures
туристическа	tourist
социология	sociology
рамка	framework
рамка	frame
котел	furnace
котел	boiler
котел	cauldron
дизайнер	designer
услуга	favor
услуга	service
пианист	pianist
боеприпаси	ammunition
боеприпаси	ammo
боеприпаси	munitions
артилерията	artillery
вълната	wave
вълната	wool
сорт	strain
сорт	variety
сорт	sort
щети	damage
щети	damages
кастилия	castile
точност	punctuality
точност	precision
точност	accuracy
свещеници	priests
включи	plug
читателите	readers
елен	deer
разделение	division
разделение	divide
разделение	separation
разделение	divisions
арабите	arabs
олимпик	olympic
четвърт	quarter
полукълбо	hemisphere
влизане	entry
влизане	login
влизане	entrance
заявка	request
заявка	requisition
комплекси	complexes
спомените	memories
публикация	post
публикация	publication
електроника	electronics
уравнения	equations
попадения	hits
пророк	prophet
съдба	destiny
съдба	fate
краища	edges
украса	decoration
украса	ornaments
украса	decorations
оцелелите	survivors
четиридесет	forty
особеност	feature
тъкани	tissue
тъкани	fabrics
решаване	resolve
цветен	color
цветен	colour
вестниците	newspapers
опашка	tail
осъществяване	implementation
посолството	embassy
референдум	referendum
справка	query
булевард	boulevard
учения	teachings
присъдата	sentencing
присъдата	sentence
лотус	lotus
терминология	terminology
командири	commanders
правопис	spelling
чай	tea
завършили	graduates
бактерии	bacteria
бактерии	bacterium
гледка	view
царевица	maize
царевица	corn
купола	dome
колело	wheel
колело	bike
колело	bicycle
инвестиции	investments
инвестиции	investment
гърди	chest
гърди	boobs
гърди	breast
гърди	breasts
медия	media
раса	race
уелски	welsh
мощ	strength
мощ	power
клисура	ravine
дарения	donations
черта	trait
черта	line
таблици	tables
обещава	promises
сюжет	plot
сюжет	storyline
барон	baron
барон	barron
психолог	psychologist
монасите	monks
подпомагане	support
наркотици	drugs
наркотици	drug
душа	shower
душа	soul
пелин	tarragon
пелин	wormwood
израелски	israeli
работник	employee
работник	worker
описания	descriptions
критики	criticism
критики	criticisms
бягство	getaway
бягство	escape
изригване	eruption
видеоклип	video
съдилища	courts
клип	clip
ефективност	efficiency
ефективност	effectiveness
ефективност	efficacy
ефективност	performance
мишки	mice
мишки	mouse
убиец	killer
убиец	murderer
убиец	assassin
напояване	irrigation
емирства	emirates
комунистите	communists
доверие	confidence
доверие	trust
шеф	chef
шеф	boss
курорт	resort
традициите	traditions
посоки	directions
глад	famine
глад	starvation
глад	hunger
трек	trek
триъгълник	triangle
комикс	comics
комикс	comic
тютюн	tobacco
линк	link
хълмове	hills
изобретател	inventor
пасища	grassland
пасища	pasture
пасища	grasslands
пасища	pastures
изречения	sentences
жлези	glands
жлези	gland
улицата	street
маркетинг	marketing
реклами	commercials
реклами	ads
реклами	advertising
бейкър	baker
нула	zero
театри	theatres
театри	theaters
кризата	crisis
органите	organs
забележка	note
забележка	remark
колекции	collections
султана	sultan
етика	ethics
цивилни	civilians
бит	bit
плод	fruit
физици	physicists
имението	mansion
имението	manor
езиците	languages
доктрина	doctrine
еволюцията	evolution
рицар	knight
оригинален	original
католици	catholics
католици	catholic
нападки	sniping
нападки	attacks
значения	meanings
планети	planets
молекули	molecules
радиус	radius
ориз	rice
подчинени	subordinates
подчинени	underlings
желязна	iron
ястия	meals
ястия	dishes
същността	essence
дискове	discs
дискове	disks
дискове	cds
прогрес	progress
процесите	processes
галерии	galleries
леля	auntie
леля	aunt
контузия	injury
контузия	contusion
скок	jump
скок	leap
цикъла	cycle
люк	manhole
съпротивление	resistance
ресторант	restaurant
дева	virgo
казан	cauldron
победителите	winners
анатомия	anatomy
стан	stan
журито	jury
задвижване	propulsion
формиране	formation
агенцията	agency
сфери	spheres
сфери	orbs
установка	launcher
календара	calendar
археолог	archaeologist
археолог	archeologist
състави	compositions
състави	configurations
костите	bones
пръст	finger
пръст	toe
пръст	earth
пръст	soil
параметър	parameter
астрономия	astronomy
сокол	falcon
великден	easter
пациенти	patients
морско	maritime
морско	sea
агенти	agents
екзарх	exarch
стихотворение	poem
руините	ruins
дистанция	distance
пирамида	pyramid
психологията	psychology
създателите	creators
създателите	makers
бонус	bonus
аргумент	argument
спиране	halt
синтез	fusion
синтез	synthesis
мускули	muscles
мускули	muscle
етапи	phases
етапи	stages
етапи	milestones
комитети	committees
сесия	session
вулкана	volcano
освобождаване	release
освобождаване	exemption
освобождаване	exemptions
членство	membership
железен	ferrous
железен	iron
ръкопис	manuscript
чиновник	clerk
сняг	snow
реалност	reality
бестселър	bestseller
интервюта	interviews
масиви	arrays
курорти	resorts
консулски	consular
жител	resident
жител	inhabitant
представления	performances
отказ	refuse
отказ	refusal
отказ	denial
присъединяване	accession
продажбите	sales
проконсул	proconsul
мъжко	male
мъжко	manly
свидетелство	certificate
художниците	painters
бележка	note
бележка	memo
мероприятия	events
брод	ford
пресата	press
окото	eye
костенурки	tortoises
костенурки	turtles
преса	press
бета	beta
регистрация	registration
храсти	bushes
храсти	shrubs
физическо	physical
показване	display
показване	show
платна	canvases
платна	canvas
про	pro
износ	exports
износ	export
кралско	royal
рицарите	knights
индекс	index
лодка	boat
йога	yoga
емигранти	immigrants
емигранти	emigrants
платно	canvas
родина	motherland
родина	homeland
родина	fatherland
гласът	voice
тайните	secrets
лидерите	leaders
пшеница	wheat
баланс	balance
кучето	dog
свидетел	witness
орбитата	orbit
подвид	subspecies
организъм	organism
отпадъци	waste
отпадъци	wastes
централа	central
централа	headquarters
сватба	marriage
сватба	wedding
литра	litres
литра	liters
резерв	reserves
резерв	reserve
лицата	faces
мъченици	martyrs
траките	thracians
диапазон	range
документация	documentation
последици	consequences
последици	implications
последици	effects
последици	consequence
пътека	path
пътека	treadmill
пътека	trail
учителите	teachers
изстрелване	launch
колела	wheels
правомощия	powers
правомощия	authority
вълк	wolf
разновидност	variety
екшън	action
отдих	recreation
отдих	leisure
отдих	relaxation
гръб	backs
гнездото	nest
предприемачи	entrepreneurs
предприемачи	developers
предприемачи	contractors
въстания	uprisings
яйцата	eggs
реконструкция	reconstruction
тухли	bricks
финалите	finals
затворници	prisoners
затворници	cons
затворници	inmates
правителствата	governments
инфо	info
математици	mathematicians
ушите	ears
продуктите	products
министрите	ministers
афера	affair
единични	singles
рая	heaven
рая	paradise
политбюро	politburo
съотношение	proportion
съотношение	ratio
съчетание	combination
стипендия	scholarship
блато	swamp
блато	marsh
блато	bog
илюстрации	illustrations
гризачи	rodent
гризачи	rodents
укрепления	fortifications
дворецът	palace
дъска	board
дъска	plank
излъчването	broadcasting
блата	swamps
блата	bogs
блата	marshes
проектиране	design
земноводни	amphibians
учебници	textbooks
корен	root
експозиция	exposure
включването	incorporation
включването	inclusion
балет	ballet
последователност	coherence
последователност	sequence
последователност	consistency
аец	npp
