danse	dancing
landevej	highway
kaukasus	caucasus
mot	mot
frivilligt	voluntary
frivilligt	volunteer
anslået	estimate
topscorer	valedictorian
afspejler	reflect
marseille	marseilles
besejre	defeating
flyvning	flying
salget	sales
infrastruktur	infrastructures
protester	protest
muhammed	mohammed
høst	harvesting
ivrig	keen
forstærket	augmented
køber	buy
tilstedeværelse	attendance
voksen	grown
rolf	ralph
kopier	copy
svampe	mushroom
brændstof	fuels
midte	midst
forbrydelser	crime
forbedringer	improvement
falske	fake
hal	hai
etnisk	ethnically
reklamer	advertising
tegne	drawing
introduktion	introducing
forstærkninger	reinforcement
made	made
strækninger	lines
strækninger	sections
byområde	agglomeration
skygge	shadows
eksperimenter	experiment
eksperimenter	experimentation
helena	helen
spiser	eat
bnp	gnp
output	outputs
barnebarn	granddaughter
barnebarn	grandson
forstæder	suburban
forstæder	outskirts
indbygget	built
tilbagetrækning	withdrawals
tilbagetrækning	withdraw
virkelighed	realities
ted	ted
tree	tre
porto	oporto
tilbagevendende	returnees
metropolitan	metropolitan
drømme	dreaming
skulpturer	sculpture
brande	fire
partikler	particulate
grafisk	graphics
grey	grey
racing	racing
redigering	editor
them	them
myter	myth
sting	sting
sweet	sweet
ler	clays
jagten	hunting
bombe	bombing
patent	patents
header	header
køb	buy
køb	buying
leverer	delivering
fisker	fishes
lufthavne	airport
fuldmægtig	administrator
proteiner	protein
suppleret	complemented
koncentreret	concentrating
factor	factor
kriminelle	criminal
kriminalitet	crimes
batteri	batteries
omkostninger	cost
passede	tended
cia	cla
håbet	hoping
reform	reforming
psykisk	psychiatric
modtagelse	receiving
inn	inns
forestilling	spectacle
øre	ears
triple	triple
armenien	armenian
rapporter	report
eksport	exporting
tunesien	tunisian
venezuela	venezuelan
skribent	scribe
ride	riding
ritualer	ritual
korstog	crusades
definerer	define
gradvis	gradually
matcher	match
tilbyde	offering
regelmæssigt	regular
happy	happy
ansøgning	applications
joakim	scrooge
udtalelser	opinions
simpsons	simpson
bryggeri	brewer
pulje	pooling
sørger	grieve
sørger	mourn
besidder	possess
søgning	searching
ombord	onboard
moral	morality
nacional	nacional
torino	turin
akustisk	acoustical
kyster	coast
ask	ask
freja	freya
analyser	analytics
jürgen	jurgen
viet	viet
grundstoffer	elemental
forstad	suburbs
quartal	quartal
trusler	threat
forstået	understand
investeringer	investment
mindesmærke	memorialized
ulykker	accident
pete	pete
beograd	belgrade
ost	cheeses
troen	faith
add	add
svækket	weakening
est	est
udgår	deleted
diskuteres	debatable
krim	crimean
kulturelt	cultural
mandskab	manpower
erkendelse	recognizing
helsingfors	helsinki
lukas	luke
alter	alter
himmel	skies
blik	gaze
bestemmelse	determination
comeback	comebacks
ferie	holidays
polens	poland
facto	facto
wiener	vienna
fed	bold
fangenskab	captive
holding	holding
nytte	usefulness
skyder	shoot
begrænsninger	limitation
emilie	emelie
flytning	moving
flytning	movement
spørge	asking
mistanke	suspicions
mistanke	suspect
mistanke	suspected
taktik	tactics
sorg	mourning
