indikerer	indicates
danse	dance
bekræftede	confirmed
designer	designing
forårsaget	caused
anslået	estimated
opret	create
afspejler	reflecting
afspejler	reflects
opfordrede	urged
besejre	defeat
oplevet	experienced
isoleret	insulated
isoleret	isolated
forsvarer	defend
forsvarer	defending
genvalgt	reelected
lovede	promised
fastlagt	defined
fastlagt	determined
skadet	injured
skadet	damaged
skadet	hurt
sørge	grieve
sørge	mourn
udtale	pronounce
udpræget	pronounced
tilføjede	added
forstærket	strengthened
forstærket	amplified
forstærket	enhanced
forstærket	reinforced
køber	buying
inviteret	invited
forenet	unified
forenet	united
opfyldt	fulfilled
opfyldt	met
genudgivet	republished
studeret	studied
fylder	filling
fylder	fills
anholdt	arrested
flyvende	flying
båret	worn
båret	borne
rør	touch
udskilt	excreted
annonceret	announced
annonceret	advertised
dømte	convicted
dømte	sentenced
dømte	condemned
opfylder	meets
opfylder	fulfils
besøger	visiting
skjulte	hidden
skjulte	hid
forbedrede	improved
flyder	floating
flyder	flows
flyder	flowing
involverede	involved
venter	waiting
venter	expecting
tegne	subscribe
tegne	draw
besøge	visit
sejler	sailing
indtage	ingest
sikrer	ensures
løsladt	released
made	feed
fløjte	whistle
forekommende	occurring
glemt	forgot
glemt	forgotten
krydsede	crossed
installeret	installed
passere	pass
fungerende	functioning
udkommet	published
spørger	asking
spørger	asks
inkluderede	included
stødte	bumped
stødte	encountered
skygge	shading
levet	lived
afslører	reveals
afslører	reveal
måler	measuring
spiser	eating
spiser	eats
krydse	crossing
krydse	cross
bestemmer	decides
bestemmer	determines
indbygget	embedded
indbygget	incorporated
anbefalede	recommended
reducere	reduce
tilbagevendende	recurring
drømme	dream
drømme	dreams
hjulpet	helped
hjulpet	aided
registrerede	registered
kritiserede	criticized
kritiserede	criticised
frigivet	released
opfylde	satisfy
opfylde	fulfill
trænet	coached
trænet	trained
forventet	expected
kontrollerede	controlled
elskede	loved
elskede	beloved
bedt	prayed
diskuteret	discussed
forhindrede	prevented
fusionerede	merged
ler	laughs
udkæmpet	fought
fremstiller	produce
fremstiller	manufactures
antaget	assumed
behandle	treat
væbnede	armed
undersøgt	studied
undersøgt	examined
undersøgt	investigated
sammenlignes	compares
afslørede	revealed
leverer	provides
leverer	delivers
trykte	printed
varierende	varying
godkendte	approved
fisker	fishing
afløser	replacing
suppleret	supplemented
koncentreret	concentrated
omfattet	included
omfattet	covered
forøget	increased
undervist	taught
passede	fit
forberede	preparing
håbet	hoped
indlagt	hospitalized
indlagt	inlaid
indlagt	hospitalised
indlagt	admitted
beskadiget	damaged
hævet	raised
eksistere	exist
eksistere	exists
betragtede	considered
specialiseret	specialised
specialiseret	specialized
fastholdt	maintained
fastholdt	restrained
rapporterede	reported
klassificeret	classified
taber	lose
indstilling	setting
lød	sounded
redigere	edit
lært	learned
lært	taught
lært	learnt
nedsatte	reduced
spurgte	asked
kørsel	driving
ment	meant
symboliserer	symbolises
symboliserer	symbolizes
udtrykker	expresses
udtrykker	expressing
forekomme	occur
ride	ride
forklarede	explained
fyldte	stuffed
fyldte	filled
støder	offends
tibet	tibet
formodes	presumed
lider	suffer
lider	suffers
dyrke	cultivate
gengivet	reproduced
opererer	operating
opererer	operates
dominerede	dominated
dylan	dylan
definerer	defining
definerer	defines
siddepladser	seating
matcher	matching
vedrører	concerns
tilbyde	offer
finansieret	financed
finansieret	funded
kaster	throwing
kaster	casts
kaster	pitching
kaster	throws
følges	followed
sørger	mourning
sørger	provides
sørger	grieving
indtaget	taken
indtaget	ingested
indtaget	consumed
besidder	possesses
landede	landed
foretrak	preferred
observeret	observed
håbede	hoping
håbede	hoped
dokumenteret	documented
dokumenteret	proven
afvikles	settled
leveres	delivered
sank	sunk
sank	sank
faxe	fax
steget	risen
forårsagede	caused
detaljeret	detailed
hjemkomst	homecoming
viet	devoted
rode	rummage
ryg	smoke
forbød	forbade
faldende	falling
faldende	descending
faldende	declining
faldende	decreasing
huskes	remembered
hentede	fetched
forstået	understood
brygge	brew
opfandt	invented
skåret	sliced
skåret	cut
fjernede	removed
omgivende	surrounding
renoveret	refurbished
renoveret	renovated
overveje	contemplate
overveje	ponder
overveje	consider
svækket	weakened
svækket	attenuated
åbnes	opens
toppede	peaked
fastsat	fixed
foretrukne	preferred
peer	peer
siddet	sat
vindende	winning
born	born
invaderede	invaded
udstedt	issued
erhvervet	acquired
gribe	seize
forhindrer	prevents
påstod	claimed
udpegede	designated
tænkte	thought
tænkte	thinking
erklærer	declaring
erklærer	declare
erklærer	declares
slås	fighting
foreslå	propose
foreslå	suggest
forlangte	demanded
kronet	crowned
udløste	triggered
kontrolleret	checked
kontrolleret	controlled
kontrolleret	verified
done	done
sprang	jumped
sprang	skipped
tvinge	compel
prøvet	tried
prøvet	tested
afhængige	addicted
skyder	shoots
skyder	shooting
skyder	firing
præsenterede	presented
dekoreret	decorated
krydset	crossed
overdrev	exaggerated
ledsaget	accompanied
arrangerede	arranged
bestilt	commissioned
bestilt	booked
bestilt	ordered
afsluttende	finishing
afsluttende	closing
avanceret	advanced
udsatte	deferred
udsatte	postponed
varieret	varied
fylde	restock
undersøgte	investigated
undersøgte	examined
turnerede	toured
anerkende	acknowledge
anerkende	recognise
kigger	looking
kigger	watching
fugtige	moist
spørge	ask
bæres	worn
antager	assume
antager	assumes
antager	assuming
svømmer	swims
svømmer	swimming
svømmer	swimmer
afgrænset	defined
afgrænset	demarcated
afgrænset	delimited
afgrænset	delineated
afgrænset	bounded
gemt	hidden
gemt	saved
oplyste	lit
oplyste	enlightened
opretter	creates
opretter	create
opretter	creating
kæmpet	struggled
kæmpet	fought
filmet	filmed
arkiveret	archived
arkiveret	filed
afviser	rejects
bemærkede	noted
