regime	regimes
geheimnis	secrets
geheimnis	secrecy
domain	domains
versteckt	hide
est	est
erwähnte	mentions
seitlich	side
vorsitz	presiding
erdgeschoss	basement
geologie	geological
unterkategorien	subcategory
kampagne	campaigns
sicherung	secure
histoire	histoire
wiederwahl	reelected
erfindung	invented
erfindung	inventions
hals	necks
hauptrollen	starring
olympia	olympic
wochenende	weekends
flüchtlinge	refugee
comic	comics
generationen	generational
leid	sorry
ausrüstung	equipments
mangel	shortages
freiwillig	volunteered
freiwillig	volunteer
minderheit	minorities
field	field
marken	brand
nachts	nights
recherche	recherche
atmosphäre	ambient
kreuzer	cruisers
erdbeben	seismic
vermutung	assumptions
spalte	columns
southern	southern
lkw	trucking
spenden	donation
kette	chains
justiz	judicial
mittelmeer	atlantic
persönlichkeit	personalities
strategie	strategies
siegel	seals
fragt	asked
hamm	gam
publikation	publications
krankheiten	illness
mans	mans
dialekt	dialects
südkorea	taiwan
südkorea	seoul
epoche	eras
rechnung	invoices
stab	stab
rad	rad
lass	lass
mauern	wall
gefangenschaft	prisoner
gefangenschaft	captive
sainte	sainte
wem	whose
teufel	hell
teufel	devils
hauptdarsteller	starring
vorfahren	ancestral
vorträge	lecture
ankunft	arrive
naturschutz	nature
kohle	coals
kaiserreich	imperial
konzern	corporate
konzern	consolidated
marokko	tangiers
kritiken	critics
kritiken	reviewers
ausgang	exits
estland	tallinn
garde	garde
anzeige	displays
sogn	sogn
durchschnitt	averages
mind	mind
mind	min
lig	lig
techniken	technique
böden	soil
stade	stade
ständigen	standing
bühnen	stage
diff	diff
pflicht	obligatory
pflicht	mandatory
pflicht	compulsory
talent	talents
fire	fire
passagiere	passenger
theologische	theology
four	four
theoretisch	theory
decken	cover
wünsche	wish
ernährung	dietary
ernährung	nutritional
vergleichen	comparison
genügt	suffice
störungen	interference
sportarten	sport
sturz	falls
hang	hang
labor	labs
labor	labor
wirtschafts	economic
wirtschafts	economie
berühmt	celebrity
berühmt	fame
kfz	automotive
wüste	deserts
invasion	invade
northern	northern
schlage	suggest
schwanz	tails
fisch	pisces
rapper	rappers
ozean	oceanic
zugrunde	underlying
neuauflage	reissued
patent	patents
webseiten	website
webseiten	web
ack	ack
pionier	pioneering
pionier	pioneers
ausgehen	nightclubs
lebenslauf	resumes
läßt	admits
gene	genes
toll	toll
christ	christian
subsp	subsp
standorte	location
han	han
wettbewerbe	contest
zelle	cells
grundlegende	basics
konzentration	concentrations
wiedervereinigung	reunite
bemüht	endeavour
berner	bern
berner	berner
berner	berne
löwe	lions
beratung	advisory
medal	medal
saarland	saar
tiger	tigers
finanziell	finances
beamter	officials
ringer	wrestling
behauptungen	allegation
relief	relief
religionen	religious
religionen	religion
schwert	swords
gewerkschaft	unions
geschwister	sibling
erkrankungen	illness
enger	tighten
stadtverwaltung	municipal
disziplinen	discipline
fachhochschule	fachhochschule
anpassung	adjustments
kostenlos	freeware
effekte	effect
essay	essays
operationen	surgery
klöster	monastery
objektiv	lenses
personenverkehr	passenger
geometrie	geometric
bonner	bonner
wohnsitz	resident
hartmut	doreen
troll	trolls
sin	sin
wirft	accuses
wirft	raises
verstand	minds
begegnungen	encounter
bett	beds
astronom	astronomers
gem	acc
beobachtungen	observational
beobachtungen	observation
zyklus	cycles
heiliger	saints
mund	mouths
löst	triggers
reformen	reform
weinbau	vineyard
weinbau	vineyards
weinbau	viticulture
scheitern	failures
indonesien	indonesian
bedingung	conditional
tagebuch	diaries
ethik	ethic
ethik	ethical
lit	lit
grosse	grosse
kaffee	cafe
verbesserungen	improvement
zypern	zimbabwe
zypern	malta
praktischen	practicality
praktischen	practicalities
komplexe	complexity
monats	monthly
türme	tower
hut	hut
hut	hats
bestände	inventory
meilen	mile
freizeit	sports
motorrad	bikes
motorrad	motorcycles
klassiker	classical
partnerschaft	partnerships
bewusstsein	conscious
ausgegangen	dated
motors	motors
let	let
let	iet
opern	opera
umstände	circumstance
stichwort	keywords
rasse	racial
zähne	tooth
gültig	expires
medaillen	medal
five	five
vernichtet	destroy
renovierung	renovated
renovierung	renovations
sockel	lga
mögen	likes
traditionen	tradition
hunde	canine
hunde	dog
krebs	cancers
fett	fats
wiederholen	repeated
decke	ceilings
decke	blankets
ulrike	sarah
ulrike	julia
jubiläum	anniversaries
schriftlich	writing
still	hush
alias	aka
mühlen	mill
ähnlichkeit	similarities
empfehlung	recommended
bedrohung	threats
fein	fein
pole	poles
bindung	bindings
early	early
abkürzungen	abbreviation
protest	protests
trophy	trophy
