hingerichtet	executed
zeigten	showed
lese	read
lese	reading
erkannte	recognized
gerufen	hailed
gerufen	shouted
gerufen	called
gerufen	summoned
versteckt	hid
versteckt	hidden
strafe	torment
erwähnte	mentioned
angekündigt	announced
angewandte	applied
kreisen	circling
abgebildet	depicted
abgebildet	mapped
abgebildet	pictured
verstorben	died
verstorben	deceased
teilt	splits
verwandte	related
sicherung	securing
lebende	living
anerkannten	recognised
reichweite	reach
angewendet	applied
begründen	justify
interpretiert	interprets
interpretiert	interpreted
informieren	inform
leid	suffering
bestätigte	confirmed
bestätigte	corroborated
bestätigte	acknowledged
versorgt	supplied
überlegen	consider
berechtigt	eligible
berechtigt	entitles
berechtigt	justified
berechtigt	entitled
bedeuten	signify
bedeuten	imply
studieren	studying
überführt	convicted
fordert	urges
fordert	calls
eingeschränkt	restricted
eingeschränkt	constrained
eingeschränkt	limited
unterhält	maintains
bestattet	buried
geprüft	verified
geprüft	audited
geprüft	tested
geprüft	checked
geprüft	reviewed
feier	celebrate
zugeteilt	assigned
zugeteilt	allocated
zugeteilt	allotted
registriert	registered
verschwinden	vanishing
verschwinden	disappearing
verschwinden	disappear
spenden	donate
bestätigen	verify
bestätigen	validate
bestätigen	acknowledge
bestätigen	confirm
vermittelt	brokered
vermittelt	conveys
vermittelt	conveyed
vermittelt	mediated
bewaffneten	armed
etablierte	established
sank	sunk
sank	sank
fragt	asks
fragt	ask
rief	exclaimed
rief	shouted
rief	called
rief	cried
verwiesen	referenced
verwiesen	expelled
verwiesen	referred
benannten	designated
eintragen	register
eintragen	enter
ähnelt	resemble
ähnelt	resembles
lass	let
beitragen	contributing
beitragen	contribute
kopiert	copied
berechnet	calculated
berechnet	computed
berechnet	charged
verlieren	losing
verlieren	loses
verlieren	lose
verarbeitet	processed
verarbeitet	wrought
funktionieren	functioning
wohnen	living
wohnen	live
zeichnen	draw
zeichnen	drawing
zeichnen	sketching
vorträge	lectures
anfangen	start
anfangen	begin
verändern	changing
verändern	modify
verändern	alter
befreit	liberated
befreit	freed
befreit	exempted
befreit	exempt
erteilt	issued
erteilt	granted
gebeten	asked
renoviert	refurbished
renoviert	renovated
renoviert	restored
renoviert	redecorated
kritisierte	criticized
kritisierte	criticised
verschwunden	gone
verschwunden	vanished
verschwunden	disappeared
startet	launches
startet	starts
trennen	separating
trennen	disconnect
spezialisiert	specialised
spezialisiert	specialized
transportiert	conveyed
transportiert	transported
benachbarte	neighboring
benachbarte	neighbouring
singen	sing
singen	chanting
vermehrt	propagated
beurteilung	judging
abgehalten	held
gewählten	elected
fliehen	escaping
fliehen	fleeing
fliehen	flee
empfangen	receive
empfangen	received
empfangen	receiving
wusste	knew
vergleichen	compare
vergleichen	comparing
gestrichen	deleted
gestrichen	cancelled
gestrichen	painted
gestrichen	abolished
gestrichen	canceled
verabschiedet	adopted
anerkannte	recognised
anerkannte	acknowledged
anerkannte	recognized
springen	jump
springen	leap
springen	jumping
interessierte	interested
passieren	happen
annehmen	assume
annehmen	accept
genügt	suffices
gedruckt	printed
erläutert	explained
erläutert	explains
zeitlich	timed
sturz	overthrow
teilgenommen	attended
teilgenommen	participated
befestigt	fortified
befestigt	attached
löscht	deletes
beantwortet	replied
beantwortet	answered
berühmt	renowned
restaurierung	restoring
geehrt	honoured
geehrt	honored
ansprechen	address
gezielt	targeted
verkauften	sold
fortgesetzt	continued
herrscht	prevails
bestritten	disputed
uraufgeführt	premiered
schwanz	prick
beteiligen	participate
ausgehen	out
sorgt	ensures
sorgt	cares
läßt	leaves
rechnen	expect
produzieren	producing
produzieren	produce
vergrößert	enlarges
vergrößert	magnified
konzipiert	conceived
konzipiert	designed
werfen	throwing
werfen	cast
werfen	toss
werfen	throw
erfunden	invented
frag	ask
heiraten	marry
heiraten	wed
schließung	closing
ausgelöst	triggered
konzentrierte	concentrated
konzentrierte	focused
angemeldet	notified
angemeldet	logged
angemeldet	filed
gerechtfertigt	warranted
gerechtfertigt	justified
beratung	consulting
beratung	counselling
identifiziert	identifies
identifiziert	identified
zerstörte	destroyed
lies	read
schaut	look
vermitteln	conveying
vermitteln	communicating
vermitteln	mediate
vermitteln	convey
floh	fled
deutet	indicates
freigegeben	released
freigegeben	cleared
orientierte	oriented
schlagen	beat
schlagen	punching
schlagen	punch
vermute	surmise
blüte	blossoming
durchgesetzt	enforced
überprüft	checked
überprüft	verified
überprüft	reviewed
gesungen	sang
gesungen	singing
gesungen	sung
überleben	survive
überleben	surviving
unterzeichnete	undersigned
unterzeichnete	signed
versenkt	sunk
versenkt	sank
erobert	conquered
erobert	conquers
erobert	conquer
verwundet	wounded
malte	painted
übergab	handed
geschlossene	enclosed
geschlossene	closed
betreuung	mentoring
studiert	studied
hochladen	uploading
begangen	committed
wirft	casts
wirft	throws
wirft	throw
möge	may
fühlt	feels
gerettet	rescued
gerettet	saved
gerettet	salvaged
ignoriert	ignore
ignoriert	ignored
ignoriert	ignores
verlangen	require
verlangen	demanding
verlangen	craving
schreibe	write
schreibe	writing
drehen	twist
drehen	rotate
drehen	turning
drehen	rotating
drehen	turn
angeben	indicate
angeben	brag
angeben	specify
gerichtet	directed
gerichtet	addressed
gerichtet	judged
gestiftet	donated
