loose	طليق
neighbouring	المجاورة
neighbouring	مجاورة
intelligent	ذكي
busy	مشغولا
busy	مشغول
busy	مشغولين
busy	مشغولة
distant	البعيد
sick	مريض
sick	مريضة
disabled	معطل
innocent	الابرياء
innocent	بريئة
innocent	بريء
thermal	حراري
thermal	حرارية
nationally	وطنيا
healthy	صحه
healthy	صحية
healthy	صحي
honest	صادقة
honest	صادق
honest	صادقا
innovative	مبتكر
innovative	مبتكرة
excessive	مفرط
excessive	فرط
pregnant	الحوامل
pregnant	حبلى
pregnant	حامل
tight	ضيقة
tight	ضيق
naked	عاري
naked	عارية
legally	قانونيا
sad	حزن
sad	حزين
sad	محزن
sad	حزينة
dear	الغالي
dear	عزيزي
dear	عزيز
dear	عزيزتي
politically	سياسيا
dirty	قذرة
dirty	القذرة
tough	صعب
tough	صعبة
tough	قاسي
mandatory	الالزامية
mandatory	الزام
cognitive	المعرفية
productive	منتجة
productive	انتاجية
secular	العلمانية
armoured	مدرعة
armoured	مصفحة
armoured	المدرعة
baltic	البلطيق
evangelical	الانجيلية
physically	بدنيا
physically	جسديا
prussian	البروسية
prussian	بروسية
teenage	مراهق
teenage	مراهقة
quarterly	فصلية
collaborative	تعاونية
collaborative	التعاونية
explicit	صريح
explicit	صريحة
slight	طفيفة
slight	طفيف
oriental	شرقي
oriental	شرقية
oriental	الشرقية
colombian	كولومبية
colombian	الكولومبية
colombian	كولومبيا
colombian	كولومبي
voluntary	طوعي
voluntary	الطوعية
voluntary	طوعية
arbitrary	تعسفية
arbitrary	تعسفي
arbitrary	التعسفي
broader	اوسع
newer	الاحدث
newer	احدث
loyal	مخلص
weird	غربة
savage	وحشية
technological	تكنولوجية
linguistic	لغوي
linguistic	لغوية
linguistic	لغويا
polar	القطبية
provisional	مؤقتا
lengthy	مطولة
shallow	الضحلة
shallow	سطحي
constructive	بناء
constructive	بناءة
magical	سحري
compatible	متوافق
compatible	متوافقة
miscellaneous	المتنوعة
miscellaneous	متنوع
miscellaneous	متنوعة
static	ساكن
static	جامدة
recreational	الترويحية
systematic	منهجي
systematic	منهجية
volcanic	البركانية
strongest	الاقوى
rational	عقلاني
rational	عقلانية
rational	الرشيد
subjective	ذاتية
subjective	ذاتي
astronomical	الفلكية
astronomical	فلكي
stupid	غباء
stupid	غبي
stupid	غبية
genuine	اصيلة
genuine	اصيل
terrible	فظيع
favorable	مواتية
favorable	موات
harsh	قاسية
curious	الفضول
curious	فضولي
curious	فضول
armored	مدرعة
armored	مصفحة
armored	المدرعة
charitable	الخيرية
attractive	جذاب
attractive	جذابة
comfortable	مريح
comfortable	مريحة
comfortable	مرتاح
leather	جلدية
invalid	باطل
dense	كثيف
dense	كثيفة
binary	ثنائية
binary	الثنائي
binary	ثنائي
ridiculous	سخافة
decorative	الزخرفية
exceptional	استثنائية
comparative	مقارنة
comparative	مقارن
comparative	المقارن
comparative	المقارنة
apostolic	الرسولية
seasonal	الموسمية
phantom	الشبح
elderly	مسن
elderly	المسنين
bare	العارية
selective	انتقائي
selective	انتقائية
automotive	للسيارات
inactive	الخاملة
singular	مفردة
vacant	شاغر
vacant	شاغرة
skilled	المهرة
skilled	مهرة
blatant	صارخ
transparent	شفافية
transparent	شفاف
transparent	شفافة
nervous	عصبي
nervous	متوتر
nervous	عصبية
nervous	متوترة
nervous	العصبي
peaceful	السلمية
peaceful	سلمية
peaceful	سلمي
bloody	دموية
bloody	الدامي
bloody	الدموي
bloody	دموي
bloody	الدموية
bitter	مرارة
bitter	المريرة
individually	فرادى
individually	فرديا
immigrant	مهاجر
immigrant	المهاجر
ecological	الايكولوجية
ecological	الايكولوجي
institutional	مؤسسية
deeper	اعمق
hollow	جوف
hollow	الجوف
lighter	اخف
secretly	سرا
finest	اجود
finest	خيرة
finest	ارقى
partisan	الحزبية
endurance	التحمل
steady	ثابت
steady	ثبات
steady	بثبات
steady	ثابتة
specially	خصوصا
specially	خصيصا
loud	عال
suspicious	مريب
suspicious	مشبوهة
suspicious	المشبوهة
eternal	الابدي
eternal	ابدي
ethical	اخلاقي
ethical	اخلاقية
yearly	سنوي
yearly	السنوي
yearly	سنوية
modest	متواضعة
modest	متواضع
micro	ميكرو
behavioral	السلوكية
mighty	الجبار
bilateral	ثنائية
bilateral	الثنائية
bilateral	الثنائي
organizational	تنظيمي
organizational	تنظيمية
deadly	مميت
intensive	مكثف
intensive	مكثفة
intensive	المكثف
