puts	يضع
divorced	مطلق
divorced	مطلقة
unified	موحدة
unified	موحد
releasing	الافراج
sail	الابحار
sail	ابحر
sail	الشراع
celebrate	احتفل
recruited	جند
coordinates	الاحداثيات
coordinates	احداثيات
finale	خاتمة
finale	الخاتمة
disabled	تعطيل
disabled	المعوقين
joins	ينضم
settle	يسوي
distinguish	يميز
threw	رمى
threw	رميت
threw	القى
travelling	سفر
travelling	السفر
appreciated	قدرت
appreciated	يقدر
appreciated	اقدر
appreciated	تقدر
appreciated	نقدر
varied	متنوعة
paste	لصق
paste	معجون
paste	عجينة
believing	الاعتقاد
spotted	رصدت
spotted	شوهد
spotted	شوهدت
biased	متحيز
biased	متحيزة
reserved	محفوظة
reserved	محجوز
reserved	محجوزة
forgotten	نسيت
trumpet	بوق
trumpet	البوق
enhanced	محسن
enhanced	معزز
measuring	القياس
measuring	قياس
retiring	يتقاعد
lit	مضاءة
succeed	انجح
concentrated	مركزة
trails	مسارات
demanded	طالبت
constitute	تشكل
highlights	ابرز
jumping	القفز
hoped	تمنيت
stationed	المتمركزة
viewing	المشاهدة
explore	استكشف
explore	استكشاف
explore	الاستكشاف
convince	اقنع
boarding	الصعود
boarding	صعود
attract	جذب
happening	يحدث
marking	الوسم
casting	الصب
prohibited	محظور
prohibited	محظورة
renewed	تجدد
renewed	متجدد
reflects	تعكس
reflects	يعكس
reflects	ينعكس
discusses	تناقش
discusses	يناقش
loaded	محمل
loaded	محملة
mature	ناضجة
mature	ناضج
preparing	تحضير
preparing	التحضير
preparing	الاعداد
answered	اجاب
seized	المضبوطة
hanging	الشنق
bend	ينحني
bend	الانحناء
draws	يسحب
draws	يرسم
floating	تطفو
floating	يطفو
floating	عائمة
crowned	يتوج
carved	نحت
consulting	الاستشارات
consulting	التشاور
consulting	استشارة
consulting	استشارات
tends	ينزع
tends	يميل
quit	استقال
maple	القيقب
verb	فعل
verb	الفعل
engaging	الانخراط
engaging	اشراك
staged	نظمت
misleading	مضلل
misleading	مضللة
sleeping	نوم
sleeping	نائم
sleeping	تنام
sleeping	النوم
sleeping	نائمة
directing	الاخراج
communicate	التواصل
loading	تحميل
loading	التحميل
practiced	يمارس
practiced	تمارس
assembled	جمعت
listening	يستمع
listening	استمع
listening	الاستماع
listening	استماع
stade	not
stade	really
stade	an
stade	english
stade	word
counting	العد
distribute	توزع
distribute	توزيع
distribute	يوزع
violate	تنتهك
violate	ينتهك
scattered	متفرقة
stuck	عالقا
stuck	عالقة
stuck	علقت
stuck	عالق
violated	انتهك
violated	انتهكت
sends	يرسل
recover	استعادة
organize	تنظيم
threatening	يهدد
threatening	تهدد
condemned	ادان
corrected	صحح
corrected	يصحح
facilitate	تيسر
forbidden	محرم
forbidden	ممنوع
forbidden	حرام
transform	تحويل
transform	تحول
transform	التحول
justified	مبرر
justified	المبرر
replied	اجاب
replied	ردت
replied	ورد
promising	واعد
undertaken	الاضطلاع
violating	انتهاك
violating	تنتهك
buying	شراء
downloaded	حملت
downloaded	حمل
downloaded	نزلت
generating	توليد
trapped	محاصرة
satisfied	راضي
satisfied	راض
satisfied	راضية
satisfied	رضيت
criticised	انتقد
publishes	ينشر
suffer	تعاني
balanced	متوازنة
balanced	توازن
balanced	متوازن
highlight	ابرز
challenging	تحديا
challenging	تحدي
hang	شنق
realizes	يدرك
pirate	القرصان
pirate	قرصان
accompanying	مصاحبة
embedded	المضمنة
embedded	مدمج
develops	يطور
formatting	التنسيق
induced	المستحث
networking	للتواصل
networking	التواصل
knocked	طرقت
highlighted	ابرز
excluded	استبعاد
excluded	مستبعدة
scan	مسح
scan	المسح
flowing	يتدفق
flowing	تتدفق
stepped	دست
sings	يغني
sings	تغني
imported	مستوردة
imported	المستورد
imported	المستوردة
rushing	التسرع
planted	زرعت
planted	مزروعة
planted	زرع
saves	ينقذ
saves	يوفر
saves	يحفظ
matching	مطابقة
matching	مطابق
matching	المطابقة
commit	ارتكاب
occupy	احتلال
occupy	تحتل
occupy	يحتل
excluding	باستبعاد
ignoring	يتجاهل
approaching	يقترب
approaching	اقتراب
frozen	المجمدة
frozen	مجمدة
frozen	متجمدة
frozen	متجمد
frozen	مجمد
shortened	قصرت
consecrated	المكرسة
struggled	كافحت
blessed	مبارك
blessed	مباركة
blessed	المباركة
accepting	قبول
avoiding	تفادي
avoiding	تتجنب
insisted	اصر
insisted	اصرت
filling	ملء
encouraging	مشجعة
emigrated	هاجر
reversed	عكست
heated	تسخين
solved	حلت
solved	حللت
demanding	يطالبون
demanding	تطالب
implied	ضمنيا
implied	الضمني
implied	ضمنية
comply	امتثال
pour	صب
revealing	يكشف
conquered	غزا
violates	ينتهك
surrendered	استسلمت
walked	مشت
walked	مشى
walked	مشيت
duplicate	مكرر
duplicate	تكرار
duplicate	مكررة
steal	يسرق
derives	يستمد
derives	تستمد
descended	ينحدر
cooling	تبريد
cooling	التبريد
spike	مسمار
spike	المسمار
translate	ترجم
marching	المسيرة
marching	الزحف
witnessed	شهد
specify	تحديد
specify	حدد
