circular	кръгло
moderate	умерено
moderate	умерен
moderate	умерена
absent	отсъствие
absent	отсъстващ
tribal	племенен
tribal	племенния
colored	цветни
permanently	трайно
permanently	безвъзвратно
elevated	повишени
elevated	повишена
elevated	повишен
impressive	впечатляваща
impressive	впечатляващи
impressive	впечатляващо
impressive	впечатляващ
nigerian	нигерийски
malaysian	малайзийски
minimal	минимални
minimal	минимално
minimal	минимална
minimal	минимален
prestigious	престижните
prestigious	престижна
sustainable	устойчиви
sustainable	устойчива
sustainable	устойчиво
sustainable	устойчив
strict	строг
strict	строга
strict	стриктна
strict	строги
strictly	строго
strictly	стриктно
comparable	съпоставими
comparable	сравнима
comparable	сравними
comparable	сравним
naturally	естествено
technically	технически
lithuanian	литовски
horizontal	хоризонтални
horizontal	хоризонтално
horizontal	хоризонтален
horizontal	хоризонтална
geological	геоложки
carefully	внимателно
presbyterian	презвитерианската
allegedly	предполагаемо
pale	бледи
pale	бледо
pale	бледа
deeply	дълбоко
angry	гневен
angry	бесен
angry	ядосан
angry	ядосана
incomplete	непълна
incomplete	непълни
incomplete	непълен
incomplete	непълно
intense	интензивни
intense	интензивна
intense	напрегнато
intense	интензивен
intense	интензивно
unrelated	несвързано
unrelated	несвързани
chilean	чилийски
nationwide	национално
problematic	проблемна
problematic	проблемно
favourite	любимо
favourite	любим
aggregate	съставна
integral	неделима
integral	неразделна
vital	жизненоважно
extraordinary	необикновено
extraordinary	необикновен
extraordinary	изключителна
mysterious	загадъчен
mysterious	загадъчна
mysterious	загадъчно
mysterious	мистериозен
mysterious	мистериозно
amazing	невероятна
amazing	удивително
amazing	изумително
amazing	невероятен
amazing	невероятно
upset	разстроен
upset	разстроена
accidentally	инцидентно
accidentally	случайно
consistently	последователно
logical	логически
logical	логично
aggressive	агресивна
aggressive	агресивни
aggressive	агресивно
aggressive	агресивен
suburban	предградията
interim	междинен
interim	междинно
lucky	късметлия
careful	внимателно
ash	пепел
predominantly	предимно
predominantly	преобладаващо
separately	поотделно
separately	отделно
neighbouring	съседна
neighbouring	съседни
intelligent	интелигентен
intelligent	интелигентно
intelligent	интелигентна
intelligent	интелигентни
busy	зает
busy	заети
busy	заето
distant	далечно
distant	далечен
distant	далечни
distant	далечна
sick	болно
sick	болен
sick	болни
sick	болна
innocent	невинен
innocent	невинно
innocent	невинна
innocent	невинни
thermal	топлинна
healthy	здрави
healthy	здрав
healthy	здрава
healthy	здравословни
healthy	здравословно
quiet	тих
quiet	тихо
estonian	естонски
honest	честен
honest	честни
innovative	иновативни
innovative	новаторски
innovative	иновационни
barely	едвам
barely	едва
unused	неизползван
unused	неизползвани
infinite	безкрайни
infinite	безкрайно
infinite	безкраен
infinite	безкрайна
excessive	прекомерна
excessive	прекомерни
excessive	прекомерен
excessive	прекомерно
mineral	минерална
mineral	минерални
mineral	минерали
pregnant	бременна
pregnant	бременни
unofficial	неофициален
unofficial	неофициално
unofficial	неофициална
unofficial	неофициални
tight	стегнат
tight	стегнато
tight	здраво
tight	стегната
naked	голо
naked	голи
naked	гола
legally	легално
legally	законно
fake	менте
fake	фалшив
fake	фалшиви
fake	фалшиво
fake	фалшива
sad	тъжни
