slavery	робство
operators	операторите
operators	оператори
armor	броня
armor	брони
mechanics	механика
mechanics	механици
footage	кадри
strings	струните
strings	струни
hood	качулка
hood	худ
inspector	инспекторе
inspector	инспектор
warnings	предупрежденията
warnings	предупреждения
relatives	роднини
relatives	роднините
plains	равнините
plains	равнини
wheels	колела
wheels	колелата
criterion	критерий
ace	ас
ace	асе
ace	асо
arrangements	договорености
arrangements	споразумения
arrangements	уговорки
joke	шега
joke	лаф
joke	виц
religions	религии
grants	субсидии
pin	пин
prototype	прототип
midnight	полунощ
duchy	херцогство
arbitrators	арбитри
arbitrators	арбитрите
performers	изпълнителите
performers	изпълнители
exploration	изследване
diversity	разнообразие
diversity	многообразие
findings	находки
findings	открития
findings	констатации
repeat	повторение
brussels	брюксел
planets	планетите
planets	планети
theatrical	театрално
theatrical	театрален
theatrical	театрални
theatrical	театрална
reconnaissance	разузнаване
shots	изстрели
complaint	жалби
complaint	оплакване
complaint	жалба
girlfriend	гадже
girlfriend	приятелката
girlfriend	приятелка
resignation	оставката
resignation	оставка
fossil	изкопаеми
inches	сантиметри
inches	инча
inches	см
substance	вещество
substance	субстанция
substance	субстанцията
explosion	взрив
explosion	експлозия
generations	поколенията
generations	поколения
duck	патка
duck	патици
duck	пате
duck	патица
porter	носач
zoo	зоопарк
zoo	зоопарка
wording	формулировка
portions	порции
ethics	етика
depot	депо
gaelic	келтски
egg	яйцето
egg	яйца
egg	яйце
conquest	завоевания
conquest	завоевание
rod	прът
algorithm	алгоритъм
algorithm	алгоритъмът
algorithm	алгоритъма
thesis	тезата
thesis	дисертация
thesis	теза
lover	любовник
lover	любовница
lover	любим
capitol	капитолия
ferdinand	фердинанд
judaism	юдаизма
balls	топки
balls	топките
balls	топчета
balls	балове
wrestlers	борци
wrestlers	борците
sin	грехът
sin	грехове
sin	грях
holocaust	холокоста
saxophone	саксофон
wishes	пожелания
wishes	желания
wishes	желанията
ruins	развалини
ruins	руините
ruins	руини
atlas	атлас
telegraph	телеграф
performer	изпълнител
cannon	оръдия
cannon	оръдие
cannon	оръдието
catalogue	каталог
discrimination	дискриминация
wizard	вълшебник
wizard	магьосник
teen	тийн
teen	тинейджър
teen	тийнейджър
spots	петна
bomber	бомбардировач
foods	храни
foods	храните
screenplay	сценарий
motors	мотори
muscle	мускулно
muscle	мускул
muscle	мускули
sheep	овце
sheep	овца
sheep	овче
complaints	оплаквания
complaints	жалби
defenders	защитниците
defenders	защитници
triangle	триъгълника
triangle	триъгълник
teeth	зъби
teeth	зъбът
teeth	зъба
teeth	зъб
teeth	зъбите
fluid	течност
fed	нахрани
fed	федерален
documentation	документация
compounds	съединения
laser	лазерно
laser	лазер
lat	лат
sculptor	скулптор
guild	гилдията
guild	гилдия
observer	наблюдател
worlds	светове
wrestler	борец
parishes	енории
bones	костите
bones	кокали
bones	кости
bones	боунс
contracts	договори
contracts	поръчки
consequences	последици
consequences	последствия
consequences	последствията
provisions	разпоредби
provisions	провизии
circulation	обращение
butterfly	пеперудата
butterfly	пеперуда
armies	армии
armies	армиите
separation	разделение
separation	раздяла
separation	отделяне
separation	разделяне
spy	шпионин
cliff	скала
cliff	клиф
reactions	реакции
reactions	реакциите
trick	трик
curve	крива
accidents	инциденти
accidents	злополуки
accidents	аварии
accidents	авариите
accidents	произшествия
legends	легенди
legends	легендите
enzyme	ензим
enzyme	ензими
enzyme	ензима
freight	товари
freight	товарен
hydrogen	водород
