sailed	отплава
stolen	откраднат
stolen	открадната
stolen	крадени
stolen	крал
stolen	откраднати
stolen	откраднато
owns	притежава
copied	копира
handled	обработени
proven	доказан
proven	доказал
proven	доказала
proven	доказало
proven	доказана
proven	доказано
proven	доказани
dying	умиране
dying	умирайки
dying	умирали
dying	умирал
dying	умирането
dying	умиращ
dying	умираща
dying	умиращата
dying	умиращи
dying	умиращите
dying	умиращия
dying	умиращият
dying	умира
focusing	фокусирана
administered	прилаган
administered	приложен
pushed	бутнат
emerging	нововъзникващите
rescued	спасена
rescued	спаси
rescued	спасилите
rescued	спасил
rescued	спасила
rescued	спасило
rescued	спасен
rescued	спасени
burn	изгори
burn	гори
burn	горя
burn	горят
burn	горите
burn	изгаряне
remembered	запомнен
wishes	желае
dissolved	разтворен
dissolved	разтворени
reveal	разкриване
reveal	разкрие
connects	свързва
disbanded	разпуснат
forcing	принуждавайки
forcing	принуждавали
forcing	принуждаване
praise	похвала
praise	слави
praise	възхвала
praise	хвала
pull	дърпай
verified	потвърдено
verified	проверено
verified	проверен
verified	проверена
verified	проверени
defining	определящ
defining	определящи
hosting	хостинг
manages	управлява
gathered	събрана
gathered	събрани
reflected	отразено
reflected	отразени
reflected	отразена
extending	удължаване
deceased	починали
deceased	починала
deceased	починал
loved	обичах
loved	обича
loved	обичаше
loved	обичал
loved	обичала
loved	обичана
loved	обичан
sustained	траен
confirm	потвърждение
confirm	потвърждавам
confirm	потвърждаване
confirm	потвърди
enabled	включено
enabled	включена
altered	променени
altered	променено
altered	променена
altered	променен
illustrate	илюстрират
authorized	разрешена
authorized	оторизиран
authorized	упълномощен
hide	скриване
hide	крия
refuses	отказва
delayed	закъснение
delayed	забавено
delayed	отложено
checking	проверка
checking	проверявам
paying	плащам
paying	плащайки
paying	плащали
paying	плащал
paying	плащала
paying	плащало
paying	плащане
paying	плащането
paying	плащащи
interpreted	тълкува
desired	желани
desired	жела
desired	желал
desired	желала
desired	желан
desired	желана
promised	обещал
promised	обещах
promised	обеща
promised	обещала
promised	обещано
endangered	застрашена
endangered	застрашени
neighboring	съседни
neighboring	съседните
hurt	наранена
hurt	нарани
hurt	нараня
hurt	наранят
hurt	наранил
hurt	ранена
hurt	рани
hurt	раните
hurt	ранил
hurt	ранила
imposed	наложена
imposed	наложено
imposed	наложен
imposed	наложени
confusing	объркващи
confusing	объркващо
respected	уважаван
respected	уважавани
respected	уважавана
forget	забрави
forget	забравя
forget	забравим
forget	забравят
forget	забравите
forget	забравиш
enable	включване
enable	позволявам
pet	галя
loves	обича
nominate	номинира
striking	поразително
striking	поразителна
export	изнасят
impressed	впечатлен
impressed	впечатлена
impressed	впечатлени
maintains	поддържа
targeted	целенасочени
picks	избира
prevented	предотврати
prevented	възпрепятстван
disappeared	изчезнал
disappeared	изчезна
disappeared	изчезнаха
disappeared	изчезналата
disappeared	изчезналите
disappeared	изчезналия
disappeared	изчезналият
disappeared	изчезналото
disappeared	изчезнала
disappeared	изчезнало
patrolling	патрулират
patrolling	патрулира
beaten	бит
beaten	бил
beaten	била
beaten	било
beaten	пребита
beaten	пребит
beaten	бита
smoke	пуши
smoke	пушат
thrown	хвърлена
thrown	хвърлени
thrown	хвърлен
accounting	отчитане
accounting	отчитайки
accounting	отчитането
accounting	отчитащи
underlying	базовите
cleaned	почистени
rankings	класирането
rankings	класиране
divorced	разведена
divorced	разведен
divorced	разведени
varies	варира
unified	обединена
unified	единна
unified	обединен
clarify	поясни
clarify	изясни
recalled	припомни
sail	плават
celebrate	празнуват
celebrate	празнуваме
collaborated	сътрудничил
drove	карал
drove	караше
accomplished	изпълнена
recruited	вербува
coordinates	координатите
finale	финал
disabled	изключен
disabled	увреждания
disabled	изключени
disabled	изключено
disabled	инвалид
disabled	изключена
cites	cites
honored	почетен
honored	почете
deliver	достави
deliver	доставя
travelling	пътуване
travelling	пътувайки
travelling	пътували
travelling	пътувал
travelling	пътувала
travelling	пътуването
travelling	пътуващ
travelling	пътуваща
travelling	пътуващата
travelling	пътуващи
travelling	пътуващите
travelling	пътуващия
travelling	пътуващият
lasting	трайно
lasting	траен
lasting	дълготраен
lasting	трайни
lasting	дълготрайно
conducting	провеждане
estimate	оцени
automated	автоматизирани
appreciated	оценена
appreciated	оценен
activated	активиран
activated	активирана
activated	активирани
varied	разнообразни
advised	посъветва
advised	посъветвал
advised	посъветвала
acknowledged	призната
acknowledged	признати
acknowledged	признато
acknowledged	признат
hitting	удряне
searches	търси
paste	поставяне
paste	паста
believing	вярвайки
believing	вярвали
believing	вярвал
believing	вярвала
believing	вярвало
believing	вярвах
believing	вярваше
believing	вярване
believing	вярването
believing	вярващ
believing	вярваща
believing	вярващи
believing	вярващите
believing	вярващия
believing	вярващият
accommodate	побере
crashed	катастрофирал
crashed	катастрофира
construct	построяват
considers	счита
spotted	забелязано
spotted	забелязан
spotted	забелязани
spotted	забелязана
rendered	постановено
transformed	трансформирана
decrease	намаляват
reserved	запазено
reserved	запазен
reserved	запазена
reserved	запазени
forgotten	забравено
forgotten	забравил
forgotten	забравила
forgotten	забравен
forgotten	забравени
forgotten	забравена
enhanced	засилено
measuring	измерване
retiring	пенсиониране
redirected	пренасочен
estimates	оценява
lit	осветена
succeed	успее
concentrated	концентриран
concentrated	концентрирана
concentrated	концентрирани
identifying	идентифициране
likes	обича
likes	харесва
throwing	хвърляне
presenting	представяме
jumping	скокове
jumping	скачане
jumping	скачам
jumping	скача
ordained	ръкоположен
viewing	гледане
explore	изследва
convince	убеди
convince	убедя
convince	убедим
convince	убедят
convince	убедите
convince	убедиш
inhabited	населен
inhabited	населена
inhabited	населени
feeding	хранене
upgraded	модернизирани
marking	маркировка
marking	маркиране
casting	кастинг
prohibited	забранено
prohibited	забрани
prohibited	забранил
prohibited	забранила
prohibited	забранена
prohibited	забранен
prohibited	забранени
cleared	изчистен
cleared	изчистено
renewed	подновено
renewed	подновен
reflects	отразява
discusses	обсъжда
loaded	зареден
loaded	зареди
loaded	заредена
loaded	заредено
loaded	заредени
mature	зряло
mature	зряла
mature	зрели
mature	зрял
preparing	подготовка
preparing	приготвяне
larvae	ларвите
larvae	ларви
seized	конфискувани
depicting	изобразяващи
counted	преброени
counted	преброи
hanging	висящ
hanging	обесване
hanging	обесването
hanging	висящи
liked	хареса
liked	харесали
liked	харесал
performs	изпълнява
questioned	разпитан
questioned	разпитван
draws	обръща
draws	тегли
draws	рисува
governed	управлявано
airing	излъчването
floating	плаващи
floating	плаваща
floating	плаващ
dressed	облечена
dressed	облече
dressed	облякъл
dressed	облечени
dressed	облечен
rewrite	пренапише
crowned	коронован
carved	издълбани
avoided	избягва
eliminate	елиминира
cry	плачи
cry	плача
cry	плачат
consulting	консултация
consulting	консултиране
consulting	консултации
rid	отърва
engaging	ангажиране
expelled	изключен
expelled	изключени
misleading	подвеждаща
misleading	подвеждане
misleading	подвеждането
misleading	подвеждащ
misleading	подвеждащи
misleading	подвеждащо
sleeping	спане
sleeping	спим
sleeping	спи
communicate	общуват
communicate	общуване
pursued	преследвана
pursued	преследван
loading	товарене
loading	натоварване
loading	зареждане
loading	зареждането
loading	зареждащ
loading	зареждаща
practiced	практикува
rises	изгрява
climbing	катерене
assembled	сглобени
assembled	сглоби
listening	слушам
listening	слушайки
listening	слушали
listening	слушал
listening	слушала
listening	слушане
listening	слушането
sits	седи
depicts	изобразява
counting	броене
counting	броя
sank	потънал
sank	потъна
sank	потъналата
sank	потъналите
sank	потъналия
sank	потънала
absorbed	абсорбира
absorbed	погълнати
absorbed	погълната
cleaning	почистване
cleaning	чистене
walks	ходи
distribute	разпределяне
distribute	разпространение
scattered	пръснати
scattered	разпръснат
scattered	разпръснати
consolidated	консолидирани
stuck	заклещен
stuck	заседнал
stuck	заседнали
defines	определя
illustrates	илюстрира
violated	нарушил
violated	нарушени
rounded	заоблени
rounded	закръглени
rounded	закръглена
transported	транспортирани
hiding	крие
hiding	укриване
hiding	криене
sends	изпраща
topped	гарнирани
recover	възстанови
combine	съчетават
organize	организираме
organize	организиране
threatening	заплашително
threatening	заплашва
threatening	заплашвайки
threatening	заплашвали
threatening	заплашвал
threatening	заплашване
threatening	заплашваща
threatening	заплашващи
condemned	осъди
condemned	осъдена
condemned	осъден
condemned	осъдени
destroying	унищожаването
destroying	унищожавайки
destroying	унищожаване
proclaimed	провъзгласена
acquire	придобие
hung	обесен
hung	обеси
corrected	поправено
corrected	коригиран
corrected	поправена
corrected	коригирана
locked	заключени
locked	заключено
locked	заключена
locked	заключен
revived	съживи
divide	раздели
divide	разделяй
divide	разделяне
