aboard	ombord
fewer	færre
optional	frivillig
optional	fakultativ
optional	frivilligt
optional	valgfri
optional	valgfrit
biblical	bibelsk
biblical	bibelske
geographical	geografisk
alpine	alpine
indie	indie
theological	teologisk
temporarily	midlertidig
temporarily	midlertidigt
constantly	konstant
legendary	legendarisk
legendary	legendariske
neat	nydeligt
funny	sjov
funny	funny
funny	morsomt
funny	sjovt
theoretical	teoretisk
smooth	jævn
smooth	glatte
smooth	glat
philosophical	filosofiske
philosophical	filosofisk
northeastern	nordøstlige
atomic	atomare
tactical	taktiske
tactical	taktisk
badly	dårligt
collegiate	kollegiale
crazy	vanvittigt
crazy	skøre
crazy	sindssygt
crazy	tosset
crazy	vildt
crazy	skør
sensitive	følsomme
sensitive	følsom
sensitive	følsomt
mutual	gensidig
mutual	gensidigt
mutual	gensidige
stronger	stærkere
stronger	kraftigere
wet	våd
wet	vådt
wet	våde
wet	wet
abstract	abstrakt
abstract	abstrakte
abstract	also
abstract	common
abstract	resume
abstract	noun
millennium	årtusinde
dimensional	dimensionelle
optical	optiske
optical	optisk
hybrid	hybride
nearest	nærmeste
nearest	nærmest
circular	cirkulære
circular	cirkulært
circular	cirkulær
moderate	moderat
absent	fraværende
fossil	fossile
fossil	fossilt
permanently	permanent
ethics	etisk
elevated	forhøjet
elevated	forhøjede
elevated	ophøjet
impressive	imponerende
nigerian	nigerianske
malaysian	malaysiske
minimal	minimale
minimal	minimal
minimal	minimalt
prestigious	prestigefyldte
sustainable	bæredygtigt
sustainable	bæredygtige
sustainable	bæredygtig
strict	streng
strict	strengt
strict	strenge
occasional	lejlighedsvise
occasional	lejlighedsvis
strictly	strengt
bigger	større
comparable	sammenlignelig
comparable	sammenlignelige
comparable	sammenligneligt
naturally	naturligt
lithuanian	litauisk
lithuanian	litauiske
horizontal	vandret
horizontal	vandrette
horizontal	horisontalt
horizontal	horisontal
consequently	følgelig
carefully	forsigtig
carefully	omhyggeligt
carefully	omhyggelig
carefully	forsigtigt
closest	nærmeste
closest	nærmest
privately	privat
afraid	bange
presbyterian	presbyterianer
allegedly	angiveligt
allegedly	påstået
arctic	arktisk
arctic	arktiske
pale	bleg
pale	blege
deeply	dybt
angry	vrede
angry	gal
angry	sur
angry	vred
incomplete	ufuldstændigt
incomplete	ufuldstændige
incomplete	ufuldstændig
intense	intens
intense	intenst
intense	intense
nationwide	landsplan
nationwide	landsdækkende
problematic	problematisk
problematic	problematiske
baroque	barok
integral	integreret
integral	integrerende
hurt	ondt
vital	vitale
