invented	erfindung
excellence	excellence
aerial	aerial
civic	civic
craft	wasserfahrzeuge
inspiration	inspirieren
vector	vector
arc	arc
mad	mad
prod	prod
addresses	telefonnummern
fallen	fallen
colours	farbig
completing	vervollständigung
prisoner	gefangen
tenth	tenth
celebrity	berühmt
bars	nachtleben
tiny	tiny
istanbul	türkei
shock	schockiert
proposals	vorschlage
hamlet	weiler
newport	hannover
malta	zypern
hate	hate
biblical	bibel
sit	sit
bills	wechsel
literacy	analphabetismus
feat	feat
galaxy	milchstraße
outbreak	ausbrechen
atomic	atomic
arrive	ankunft
lutheran	evangelisch
collegiate	collegiate
conferences	vorträge
sensitive	sensible
wet	wet
julia	ulrike
julia	silke
dimensional	dreidimensionale
frontier	grenzgänger
oslo	norwegen
midnight	midnight
absent	abwesenheit
resignation	ausscheiden
inches	zentimeter
emerging	schwellenländer
egg	eizellen
egg	eiweiß
cannon	cannon
muscle	musculus
bones	pille
pull	pull
dale	dale
seoul	südkorea
abdul	abd
magnitude	helligkeit
sudan	südsudan
presbyterian	presbyterian
arctic	arctic
assumption	himmelfahrt
fourteen	fourteen
budapest	ungarn
marsh	marsh
maker	maker
thunder	thunder
toll	toll
jam	jam
lightning	lightning
julie	heiko
suburban	suburban
lucky	lucky
speedway	speedway
regiments	regimenter
bicycle	radtour
gerald	detlef
array	matrix
loose	verlieren
boom	ausleger
zimbabwe	tansania
zimbabwe	zypern
alexandria	ägypten
americas	nordamerika
tomorrow	tomorrow
unified	unified
associates	associates
raiders	piraten
para	ziffer
cites	cites
circus	circus
sec	sec
tribune	tribune
kosovo	serbien
vale	vale
tonight	tonight
tight	straffen
harmony	harmony
moses	musa
pocket	pocket
sad	sad
blow	blast
lit	lit
marble	marble
streak	streak
dirty	dirty
trails	trails
tan	tan
stern	stern
bet	bet
cairo	ägypten
graves	graves
forwards	forward
tin	tin
madagascar	kapverden
