waves	winkt
invented	erfunden
invented	erfand
landed	angelandet
landed	gelandet
landed	landeten
landed	landete
paint	malen
paint	streicht
stops	stoppt
thinks	meint
thinks	glaubt
thinks	denkt
beliefs	glaubt
taxes	besteuert
spell	buchstabieren
pairs	paaren
approaches	nähert
travels	reist
inherited	geerbt
inherited	vererbt
sailing	segeln
stroke	streicheln
stroke	hub
opens	eröffnet
opens	geöffnet
opens	öffnet
discover	entdecken
discover	entdecke
relocated	verlegt
relocated	verlagert
relocated	umgezogen
recognize	erkenne
recognize	erkennen
recognize	anerkennen
anchor	verankern
arguing	argumentieren
arguing	streiten
fled	geflüchtet
fled	floh
fled	geflohen
demands	fordert
lock	abschließen
lock	absperren
relegated	absteigen
pictured	abgebildet
pictured	dargestellt
filter	filtern
addresses	adressieren
challenged	angefochten
challenged	herausgefordert
fallen	fiel
fallen	gefallen
fallen	gestürzt
completing	vervollständigen
signals	signalisieren
arriving	anreisen
arriving	ankommen
tested	geprüfte
tested	geprüft
tested	erprobt
tested	getestet
tested	prüfte
specified	spezifiziert
specified	angegeben
collapse	zusammenbrechen
collapse	einstürzen
collapse	kollabieren
perceived	wahrgenommen
perceived	wahrgenommenen
appeals	appellieren
expanding	erweitern
expanding	expandieren
pulled	gezogen
pulled	zog
housed	untergebracht
housed	beherbergte
earning	verdiene
earning	verdienen
streams	streamen
grows	wächst
realize	realisieren
realize	umsetzen
hate	hasse
hate	hassen
enters	betritt
burned	niedergebrannt
burned	gebrannt
burned	abgebrannt
burned	verbrannt
burned	verbrannten
displays	zeigt
compiled	zusammengestellt
compiled	erstellt
compiled	kompiliert
compiled	erstellte
chat	chatten
chat	plaudern
supplied	versorgt
supplied	geliefert
supplied	lieferte
supplied	gelieferte
supplied	beliefert
surprised	überrascht
surprised	erstaunt
surprised	überraschte
surprised	gewundert
rebels	rebelliert
sit	sitzen
binding	binden
eating	fressen
eating	essen
eating	esse
eating	isst
saving	speichern
saving	sparen
saving	retten
worn	erschöpft
worn	getragen
worn	getragene
maintaining	pflegen
maintaining	aufrechterhalten
arrives	kommt
arrives	ankommt
recommend	empfehle
recommend	empfehlen
