integral	अभिन्न
extraordinary	असाधारण
mysterious	रहस्यमय
amazing	अदभुत
amazing	अद्भुत
logical	तार्किक
aggressive	आक्रामक
lucky	भाग्यशाली
loose	ढीला
intelligent	समझदार
intelligent	बुद्धिमान
busy	व्यस्त
distant	दूर
unfree	निर्मुक्त
sick	बीमार
innocent	मासूम
innocent	बेगुनाह
innocent	निर्दोष
thermal	थर्मल
healthy	स्वास्थ्यवर्धक
healthy	स्वस्थ
quiet	शांत
estonian	एस्टोनियाई
honest	इमानदार
honest	ईमानदार
innovative	नवीन
innovative	अभिनव
obscure	अस्पष्ट
barely	मुश्किल
unused	अनुपयुक्त
unused	अप्रयुक्त
pregnant	गर्भवती
tight	कड़ा
tight	टाइट
tight	कस
tight	तंग
naked	नंगे
naked	नंगा
naked	नग्न
fake	नकली
fake	फेक
sad	दुखी
sad	सैड
sad	दुखद
sad	उदास
uncertain	अनिश्चित
dear	डियर
dear	प्रिय
dear	डिअर
politically	नीतियां
dirty	गन्दा
dirty	गंदे
dirty	गंदा
adequate	पर्याप्त
inland	अंतर्देशीय
tough	कठिन
tough	मुश्किल
slovak	स्लोवाक
mandatory	अनिवार्य
finite	परिमित
forwards	आगे
remarkable	उल्लेखनीय
cognitive	संज्ञानात्मक
productive	उत्पादक
accordingly	तदनुसार
supposedly	माना
vague	अस्पष्ट
secular	सेक्युलर
secular	धर्मनिरपेक्ष
elaborate	विस्तृत
elaborate	विस्तृत
useless	बेकार
useless	व्यर्थ
silly	नादान
silly	पगली
baltic	बाल्टिक
evangelical	धर्मान्तरण
mature	परिपक्व
insufficient	अपर्याप्त
governmental	सरकारी
quarterly	त्रैमासिक
explicit	सुस्पष्ट
slight	अल्प
slight	निर्बल
slight	हल्का
slight	क्षीण
slight	तुच्छ
slight	पतला
everyday	रोज़ाना
everyday	प्रतिदिन
everyday	रोज
oriental	प्राच्य
colombian	कोलम्बियाई
voluntary	स्वैच्छिक
sudden	अचानक
arbitrary	मनमानी
newer	नया
newer	नई
newer	नए
informal	अनौपचारिक
loyal	वफ़ादार
unanimous	सर्वसम्मत
crucial	निर्णायक
prehistoric	प्रागैतिहासिक
hostile	प्रतिकूल
hostile	विरोधी
hostile	शत्रु
weird	अजीब
wonderful	अद्भुत
hon	होन
linguistic	भाषाई
polar	ध्रुवीय
provisional	अस्थायी
airborne	हवाई
shallow	उथले
magical	जादुई
compatible	संगत
pleasant	सुहाना
pleasant	सुहावना
pleasant	सुखद
miscellaneous	विभिन्न
miscellaneous	विविध
openly	खुलकर
inferior	अवर
static	स्थिर
systematic	व्यवस्थित
brilliant	शानदार
decent	सभ्य
rational	परिक्रमण
rational	तर्कसंगत
astronomical	खगोलीय
regulatory	नियामक
stupid	मूर्ख
stupid	बेवकूफ
alma	अल्मा
continuously	लगातार
ecclesiastical	चर्च
ecclesiastical	संबंधी
genuine	वास्तविक
terrible	भयानक
favorable	अनुकूल
paramount	सर्वोपरि
harsh	हर्ष
harsh	कठोर
dental	डेंटल
dental	दन्त
dental	दंत
curious	उत्सुक
curious	जिज्ञासु
evolutionary	विकासवादी
armored	आर्मर्ड
cheap	सस्ता
cheap	सस्ते
cheap	सस्ती
attractive	आकर्षक
factual	वास्तविक
comfortable	सहज
comfortable	आरामदायक
enormous	प्रचुर
enormous	अत्यंत
enormous	विशाल
botanical	वनस्पति
lone	अकेला
invalid	अवैध
invalid	अमान्य
dense	सघन
dense	घना
binary	द्विचर
binary	बाइनरी
ridiculous	हास्यास्पद
decorative	सजावटी
exceptional	असाधारण
papal	कैथोलिक
macedonian	मकदूनियाई
icelandic	आइसलैंडिक
comparative	तुलनात्मक
paralympic	पैरालम्पिक
slovenian	स्लोवेनियाई
seasonal	मौसमी
fiscal	फिस्कल
phantom	प्रेत
elderly	बुजुर्ग
bare	नंगा
prolific	सफल
selective	चयनात्मक
automotive	वाहन
inactive	निष्क्रिय
ambiguous	अस्पष्ट
singular	एकवचन
photographic	फ़ोटोग्राफ़िक
subtropical	उपोष्ण
blatant	घोर
stale	बासी
sonic	ध्वनि
transparent	पारदर्शी
nervous	घबरा
nervous	बेचैन
primitive	प्राचीन
primitive	आदिम
slavic	स्लावी
peaceful	शांतिपूर्ण
manually	हस्तचालित
atmospheric	वायुमंडलीय
bloody	साला
bloody	खूनी
bitter	कड़वी
bitter	कटु
bitter	कड़वा
monetary	मौद्रिक
latvian	लातवियाई
intact	बरकरार
immigrant	अप्रवासी
mega	मेगा
mega	आचमन
institutional	संस्थागत
underwater	भाटे
unaware	बेखबर
hollow	खोखला
