hoping	उम्मीद
confusing	भ्रामक
respected	आदरणीय
centered	केंद्रित
centered	केन्द्रित
nominate	मनोनीत
impressed	प्रभावित
enlisted	आयोजिक
beaten	पीटा
beaten	पिटे
directions	निर्देश
directions	दिशानिर्देश
padding	गद्दी
measurement	मूल्यांकन
measurement	माप
measurement	मापन
divorced	तलाकशुदा
unified	एकीकृत
sail	पाल
drives	चलाता
accomplished	संपन्नता
disabled	अक्षम
disabled	विकलांग
disabled	निष्क्रिय
distinguish	फर्क
honored	गौरव
honored	सम्मानित
deliver	उद्धार
threw	फेंका
travelling	यात्राएं
lasting	स्थायी
estimate	एस्टीमेट
automated	स्वचालित
appreciated	सराहा
appreciated	सराहना
crashed	दुर्घटनाग्रस्त
dubbed	उतावले
biased	पक्षपाती
biased	पक्षपातपूर्ण
transformed	रूपांतरित
reserved	आरक्षित
reserved	सुरक्षित
trumpet	तुरही
enhanced	उन्नत
lit	जलाकर
succeed	सफल
wore	पहना
demanded	मांगे
throwing	फेंकने
throwing	फेंकना
climb	चढ़ाई
presenting	पेश
highlights	हाइलाइट
jumping	कूद
viewing	देखना
viewing	देखने
convince	समझाने
boarding	बोर्डिंग
attract	आकर्षित
prey	शिकार
guided	निर्देशित
guided	हिदायत
marking	अंकन
casting	ढलाई
prohibited	निषिद्ध
cleared	साफ
renewed	नवीनीकृत
elaborate	व्यापक
elaborate	सविस्तार
mature	वयस्क
preparing	तैयारी
larvae	लार्वे
seized	जब्त
counted	गिना
counted	गिने
hanging	फांसी
bend	झुकना
acclaimed	प्रशंसित
floating	तैरता
floating	फ्लोटिंग
dressed	वेश
skiing	स्कीइंग
crowned	ताज
consulting	परामर्श
quit	छोड़ें
quit	छोड़ो
staged	मंचन
misleading	गुमराह
misleading	भ्रामक
pursued	धड़ा
loading	लोडिंग
loading	लदान
rises	उदय
climbing	चढ़ाई
assembled	समवेत
tackle	निपटने
tackle	निपट
listening	सुनना
counting	गिनती
absorbed	अवशोषित
cleaning	सफाई
cleaning	सफ़ाई
walks	चलता
walks	सैर
distribute	वितरित
scattered	बिखरे
consolidated	समेकित
addressing	संबोधित
gather	एकत्रित
sends	भेजना
topped	अव्वल
recover	वसूली
organize	व्यवस्थित
lynch	वध
hung	लटका
corrected	संशोधित
locked	तालाबंद
modeling	मॉडलिंग
bore	छेद
facilitate	सुकर
echo	इको
echo	प्रतिध्वनि
echo	गूँज
echo	गूंज
organizing	आयोजन
torture	कष्ट
torture	पहुंचाना
tagging	टैगिंग
forbidden	वर्जित
forbidden	मनाही
forbidden	निषिद्ध
forbidden	हराम
transform	रूपांतरण
adopt	अपनाना
justified	जायज
predicted	पूर्वानुमानित
promising	होनहार
buying	क्रय
buying	खरीदे
downloaded	डाउनलोड
trapped	फंस
satisfied	संतुष्ट
rowing	रोइंग
balanced	संतुलित
challenging	चुनौतीपूर्ण
hang	लटकना
irving	इरविंग
enhance	बढ़ाने
enhance	बढ़ाएँ
staying	रहने
staying	रह
staying	रहकर
dropping	छोड़ने
embedded	अंतःस्थापित
toss	टॉस
networking	नेटवर्किंग
fixing	लगाना
knocked	खटखटाया
choosing	चुनना
scan	स्कैन
flowing	बहती
mapping	मैपिंग
mapping	मानचित्रण
renovated	संवर
sings	गाती
sided	तरफा
imported	आयातित
stoke	स्टोक
rushing	दौड़ना
depend	निर्भर
deserves	हकदार
twelfth	बारहवीं
matching	मैचिंग
matching	मिलान
commit	प्रतिबद्ध
allocated	आबंटित
themed	प्रसंग
blessed	धन्य
motivated	प्रेरित
avoiding	बचने
screening	जाँच
inaugurated	उदघाटन
