modernas	modern
intelectuales	intellectuals
intelectuales	intelligentsia
intelectuales	intellectual
alcaldía	mayor
macho	male
alumno	learner
alumno	pupil
alumno	student
reemplazo	replacement
décimo	tenth
setenta	seventies
setenta	seventy
clasificaciones	classifications
clasificaciones	ratings
clasificaciones	rankings
viña	vineyard
viña	vine
capas	layers
capas	capes
capas	layer
interacción	interaction
interacción	interactions
interacción	engagement
interacción	interplay
universitarios	university
tiros	shots
trigo	wheat
persa	farsi
persa	persian
civilización	civilization
civilización	civilisation
complejos	complexes
complejos	complex
turco	turk
turco	turkish
colegios	schools
colegios	colleges
enfrentamientos	clashes
enfrentamientos	confrontations
iluminación	illumination
iluminación	lighting
apartado	paragraph
mineral	ore
sustancias	substances
entero	integer
entero	whole
entero	entire
impulso	impetus
impulso	impulse
impulso	boost
impulso	momentum
computadora	computer
lectores	readership
lectores	reader
lectores	readers
catedrático	professor
elevación	elevation
móviles	mobiles
rotación	rotation
estabilidad	stability
dependiente	subsidiary
dependiente	dependant
curva	curve
maestría	mastery
centra	centers
hidrógeno	hydrogen
tejidos	tissues
tejidos	tissue
tejidos	fabrics
tejidos	textiles
fabricante	manufacturer
adquisición	purchase
adquisición	procurement
adquisición	acquisition
cuadrado	square
israelí	israeli
israelí	israelis
israelí	israel
guerreros	warriors
combatir	combat
impuesto	tax
impuesto	taxes
modificación	amendment
modificación	alteration
modificación	modification
luces	lights
interiores	interiors
interiores	interior
historieta	comics
historieta	comic
sindicato	union
sindicato	unión
sindicato	syndicate
períodos	periods
inclusión	inclusion
suspensión	suspension
desplazamiento	displacement
pedido	order
huelga	strike
centrocampista	midfielder
capitales	capitals
capitales	capital
huesos	bones
huesos	bone
vídeos	videos
salsa	salsa
salsa	gravy
salsa	sauce
alfabeto	alphabet
manuscrito	manuscript
horizontal	horizontal
vestido	dress
octavo	eighth
cartel	poster
cartel	billboard
cartel	cartel
granja	farm
granja	farmhouse
patas	legs
patas	paws
vanguardia	vanguard
vanguardia	forefront
préstamo	loan
préstamo	lending
estatuto	statute
estatuto	statutes
liderazgo	leadership
célula	cell
lineal	linear
franquicia	franchise
adquirir	purchase
adquirir	acquire
expulsión	expulsion
expulsión	deportation
observaciones	remarks
observaciones	observations
observaciones	comments
desembocadura	mouth
rivales	rivals
rivales	rival
rayo	beam
rayo	ray
rayo	thunderbolt
rayo	lightning
físicos	physicists
físicos	physical
organiza	organises
bombas	pumps
bombas	bombs
financieros	financiers
retratos	portraits
novio	groom
novio	boyfriend
rechazo	refusal
rechazo	rejection
firmar	signing
firmar	sign
expresiones	expressions
ruptura	breakup
ruptura	rupture
emisora	broadcaster
filósofos	philosophers
adolescente	teen
adolescente	teenager
inés	inez
inés	agnes
prototipo	prototype
dinámica	dynamics
dinámica	dynamic
variación	variance
variación	variations
variación	change
variación	variation
latitud	latitude
trío	threesome
trío	trio
óleo	oil
alfa	alpha
caudal	flow
antecedentes	backgrounds
antecedentes	background
irlandés	irishman
guarda	guard
anchura	width
anchura	breadth
marciales	martial
utilidad	usefulness
utilidad	utility
receptor	receiver
prólogo	preface
prólogo	foreword
prólogo	prologue
valenciano	valencian
tramos	tranches
tramos	sections
tramos	stretches
contemporáneos	contemporaries
campeona	champ
