celebrar	celebrate
reemplazo	replace
capas	layered
permitido	permitted
permitido	allowed
convocado	convened
convocado	summoned
participando	participating
elevación	uplift
integra	integrates
rotación	rotating
curva	curved
curva	bend
centra	focuses
tejidos	woven
existían	existed
expulsado	expelled
expulsado	ejected
iguales	equals
concluyó	concluded
reconocidos	acknowledged
reconocidos	recognised
reconocidos	recognized
proporcionar	provide
proporcionar	providing
reveló	revealed
reveló	unveiled
sostiene	sustains
sostiene	holds
declarada	declared
visitó	visited
vestido	dressed
especializada	specialised
especializada	specialized
ampliar	enlarge
ampliar	zoom
ampliar	expand
presentada	presented
presentada	submitted
mostrando	showing
mostrando	displaying
franquicia	franchising
adquirir	acquiring
organiza	organize
organiza	arranges
organiza	organizes
rechazo	reject
eligió	chose
describir	describe
describir	describing
previsto	planned
actualizado	updated
mencionada	mentioned
sabía	knew
grabada	engraved
celebrada	held
celebrada	celebrated
desapareció	vanished
desapareció	disappeared
apoyó	supported
aceptación	accepting
modificar	modify
modificar	modifying
modificar	amend
cedido	ceded
cedido	loaned
definido	defined
contribuyó	contributed
adquirido	acquired
adquirido	purchased
conecta	connect
conecta	connects
ocupada	occupied
protegida	protected
derivado	derived
rodaje	filming
grabados	engraving
grabados	recorded
diseñada	designed
añadió	added
dominante	dominating
tocando	touching
tocando	playing
mantenido	maintained
mantenido	kept
falla	fail
falla	fails
falla	misses
romper	breaking
neerlandés	dutch
bloqueado	locked
bloqueado	blocked
tocó	touched
conformado	conformed
lucio	pike
avanzada	advanced
situados	situated
pendiente	pending
recordar	remembering
recordar	remember
comenzando	beginning
comenzando	commencing
comenzando	starting
separa	separates
tomada	taken
declara	declare
declara	declares
alegría	cheer
reconoció	acknowledged
cría	breeding
comenzado	started
comenzado	begun
nominada	nominated
decidir	deciding
decidir	decide
obtenidos	obtained
sufrir	suffer
asistencias	assists
quedarse	staying
condujo	drove
convertir	convert
convertir	converting
emite	emits
levantamiento	uplift
hebreo	hebrew
causar	causing
ordenado	ordained
ordenado	ordered
asociada	associated
estimada	esteemed
estimada	estimated
poniendo	putting
colaborar	collaborate
colaborar	collaborating
distribuye	distributes
distribuye	distribute
auge	booming
encargo	commissioned
censura	censor
liberado	released
liberado	freed
liberado	liberated
afecta	affects
afecta	affect
seca	dry
seca	dried
marchó	marched
medir	measuring
asume	assume
asume	assumes
duelo	grieving
duelo	mourning
correr	running
correr	run
ocupando	occupying
cantando	chanting
invitada	invited
rap	rapping
respondió	replied
respondió	answered
respondió	responded
asistir	attending
asistir	assist
asistir	attend
actuando	acting
anuncia	announce
tendencias	trending
elaborado	elaborate
elaborado	elaborated
elaborado	crafted
asumir	assume
conducción	driving
introducido	entered
introducido	introduced
partió	departed
conocía	knew
citas	dating
aprobada	approved
investigar	investigate
decidido	decided
decidido	determined
enfrenta	confronts
destruida	destroyed
seguida	followed
holandés	dutch
viendo	seeing
viendo	watching
regulación	regulating
abandona	abandons
abandona	abandon
requieren	require
pretendía	intended
flash	flash
proclamó	proclaimed
aprovechando	leveraging
aprovechando	harnessing
aliado	allied
enfrentar	confront
ama	loves
luchó	wrestled
luchó	struggled
luchó	fought
calvo	balding
creer	believe
creer	believing
creer	belive
compartir	sharing
probar	prove
probar	try
provocando	sparking
provocando	causing
provocando	provoking
armados	armed
emitida	emitted
reside	reside
reside	resides
separadas	separated
express	express
montaje	mounting
considerando	considering
enviados	sent
asesinados	murdered
asesinados	assassinated
asesinados	killed
vaya	go
constituido	constituted
constituido	formed
ingresar	enter
próximos	upcoming
editada	edited
envía	sends
causando	causing
atacó	attacked
preparar	prepare
encontrados	found
formatos	formatting
bombardeo	shelling
cambiando	changing
lento	slow
apoyado	supported
incluidas	included
sainte	sainte
reduce	reduces
reduce	reduce
coronado	crowned
esperando	waiting
esperando	expecting
esperando	hoping
trajo	brought
bienestar	wellbeing
implementación	implementing
perdida	lost
protagonizó	starred
identificado	identified
ejecutar	execute
ejecutar	run
destinada	destined
dedicados	dedicated
tallos	stems
adoptado	adopted
quieren	want
añadido	added
contener	contain
secos	dry
secos	dried
desarrollados	developed
entiende	understands
entiende	understand
