नक्शे	maps
त्रिभुज	triangle
खलनायक	villain
खलनायक	villains
खलनायक	villian
पुरातन	antique
अल्फा	alpha
अल्फा	alfa
डालर	dollar
निशाना	target
ऑटोमोबाइल	automobiles
ऑटोमोबाइल	automobile
गेंदबाज	bowler
जन्मदिन	birthdays
जन्मदिन	birthday
काँच	glass
सूप	soup
नेट	net
नेट	nets
उत्परिवर्तन	mutation
ओपेरा	opera
मैट्रिक्स	matrix
बिल्ली	cat
क्षुद्रग्रह	asteroids
क्षुद्रग्रह	asteroid
आसमान	sky
आसमान	skies
क्रियाएँ	activities
क्रियाएँ	verbs
क्रियाएँ	actions
क्रियाएँ	activity
याचिका	petition
स्नेह	affection
चोर	thieves
चोर	thief
डाइऑक्साइड	dioxide
मौजूदगी	presence
दोस्ती	friendship
प्रेरक	motivational
प्रेरक	inductor
पंप	pump
सील	seal
आश्वासन	solace
आश्वासन	assurance
विचलन	deviation
जलाशय	basin
सूफी	sufi
टैक्सी	taxi
टैक्सी	cab
टैक्सी	taxis
सूरा	chapter
सूरा	surah
सूरा	sura
रेलमार्ग	railroad
गेहूं	wheat
ब्राह्मी	brahmi
रस्सी	rope
शुद्धता	chastity
शुद्धता	accuracy
शुद्धता	purity
शुद्धता	purity
रचनाकार	writer
शिशुओं	babies
अंगूर	grape
अंगूर	grapes
देह	flesh
जौ	barley
खाई	ditch
युवावस्था	youth
स्टाइल	style
भैरव	fierce
गुरुकुल	seminary
कारखानों	factories
ढांचा	frames
ढांचा	frame
ढांचा	structure
ढांचा	framework
मजदूरी	wage
मजदूरी	wages
विस्थापन	displacement
कठिनाइयों	difficulties
चैन	relief
प्रतीकों	symbols
अभियान्त्रिकी	engineering
सामंजस्य	harmony
सामंजस्य	adjustment
पैक	packs
पैक	pack
छाल	bark
परीक्षित	examined
शतरंज	chess
गर्भपात	abortion
छावनी	cantonment
छावनी	barracks
छावनी	barrack
प्रकोप	indignation
प्रकोप	wrath
ग्रीष्म	summers
ग्रीष्म	summer
पुजारी	priest
मीना	mina
तीर्थंकर	tirthankara
एनीमेशन	animation
एनीमेशन	animations
ज्वार	sorghum
समस्याएँ	problems
समस्याएँ	issues
मित्रता	friendliness
मित्रता	amity
मित्रता	friendship
विश्वसनीयता	credibility
विश्वसनीयता	reliability
यूरेनियम	uranium
श्रद्धांजलि	tribute
श्रद्धांजलि	tributes
श्रद्धांजलि	homage
ढेर	piles
वेधशाला	observatory
कुत्ता	dog
क्लबों	club
जड़ें	roots
सरसों	mustard
इमाम	imam
चलना	walk
धुन	tune
धुन	craze
समितियों	committees
मसाले	spices
औचित्य	justification
रूपक	metaphor
नौका	yacht
नौका	boat
शैवाल	algae
निपटान	disposal
प्रचारक	promoters
प्रचारक	campaigner
साईट	site
अभिगम	access
मंत्रिमंडल	ministries
मंत्रिमंडल	cabinet
सिखों	sikhs
न्यूज	news
मयूर	honey
कमला	kamala
कमला	lotus
कमर	waist
फौज	army
कैमरे	cameras
निकास	exit
निकास	outlet
मालिश	massages
मालिश	massage
आसवन	distillation
क्वार्टर	quarter
लाइनों	lines
पाषाण	quarry
कवक	fungus
क्षतिपूर्ति	compensation
क्षतिपूर्ति	damages
क्षतिपूर्ति	retrieval
सूखा	drought
रजिस्टर	register
सन्धि	treaty
चमत्कार	miracles
चमत्कार	miracle
चमत्कार	wonders
गोला	sphere
उत्तेजना	excitement
उत्तेजना	furore
उत्तेजना	exasperation
विमानन	aviation
संचय	cache
वायरलेस	wireless
टुकड़ा	fragment
टुकड़ा	piece
लेफ्टिनेंट	lieutenant
स्पैनिश	spanish
हाइब्रिड	hybrids
हाइब्रिड	hybrid
बलात्कार	rape
संतोष	satisfaction
संतोष	contentment
बस्तियों	localities
कथाएं	tales
सजावट	decoration
सजावट	decorations
हिमनद	glacier
टीबी	tb
कैफीन	caffeine
राख	ashes
संकुचन	compression
संकुचन	contraction
पार्टियों	parties
इन्टरनेट	internet
उर्वरक	fertilizer
अनुवादक	translator
अनुवादक	translators
आरोपों	accusations
उपसर्ग	prefix
संयम	restraint
संयम	sobriety
आँखें	eyes
पुनर्गठन	reorganisation
शाप	curse
वैवाहिक	matrimonial
बास	bass
घुटने	knee
कम्प्यूटिंग	computing
पुरोहित	priest
अपराधियों	culprits
अपराधियों	offenders
अपराधियों	criminals
डेस्कटॉप	desktop
सितारे	stars
डीजल	diesel
निष्ठा	dedication
निष्ठा	devotion
निष्ठा	allegiance
अंतरण	spacing
वामन	gnome
इंटरफ़ेस	interface
साँस	breath
साँस	breathing
कैल्सियम	calcium
कथाकार	storyteller
बंधक	hostage
पटल	panel
प्रत्यारोपण	transplantation
प्रत्यारोपण	transplant
कर्मियों	personnel
साठ	sixty
व्यवसायी	businessman
सीनियर	seniors
नकद	cash
समीक्षक	reviewer
आभूषण	jewelry
आभूषण	jewellery
लड़ाकू	fighter
उत्प्रेरक	catalyst
कठोरता	stiffness
कठोरता	hardness
तीर	arrows
तीर	arrow
जनजातियों	tribes
युवराज	prince
निर्वात	vacuum
आपातकाल	emergency
खानों	mines
इरादे	intention
कालक्रम	chronology
अवधारणाओं	concepts
प्रोफ़ाइल	profile
प्रोफ़ाइल	profiles
घृणा	hatred
घृणा	hate
घृणा	disdain
घृणा	aversion
घृणा	disgust
घृणा	aversion
घृणा	disgust
घृणा	aversion
घृणा	disgust
मसाला	masala
मसाला	spice
बर्बरता	barbarism
बर्बरता	vandalism
विकलांग	disabled
विकलांग	handicapped
संकीर्ण	narrow
विशेषाधिकार	privilege
विशेषाधिकार	prerogative
रोमांस	romance
कार्यक्षमता	functionality
कार्यक्षमता	purpose
मानों	values
सामर्थ्य	strength
सामर्थ्य	potential
सामर्थ्य	capabilities
स्वच्छता	cleanliness
स्वच्छता	sanitation
ऐन	ain
अदृश्य	latent
अंगूठी	ring
अलवर	oliver
पंचांग	calendar
पंचांग	calendars
नमूनों	specimens
नमूनों	excerpt
परतों	layers
पेंगुइन	penguin
ग्राफ	graph
कुरान	quran
कुरान	koran
सुर	key
दुष्ट	rogue
दुष्ट	evil
वैभव	grandeur
बराबरी	equals
बैकअप	backups
बैकअप	backup
अमीनो	amino
प्रविष्टि	entry
प्रविष्टि	listing
निमंत्रण	invitations
निमंत्रण	invitation
नकदी	cash
उस्ताद	master
निराशा	disappointment
दरवाजा	door
शॉपिंग	shopping
स्तंभों	pillars
सितारों	stars
धोखाधड़ी	fraud
प्रिंट	print
गली	street
गिरफ्तारी	arrest
सहाय	aid
सहाय	assistance
बंदर	monkey
रास	raas
घात	waiting
प्रशस्ति	commendation
रेशे	fibres
रेशे	fibers
खिड़की	window
विरोधियों	rivals
विरोधियों	opponents
आतंक	terror
नर्तकी	ballerina
नर्तकी	dancer
पियानो	piano
विधवा	widow
असफलता	failure
पंखों	wings
मुद्रास्फीति	inflation
गज	yardstick
गज	yards
स्थूल	fat
ग्रीवा	neck
दोषों	defects
कमजोरी	weakness
क्षारीय	alkali
क्षारीय	alkaline
टीके	vaccines
गोलार्ध	hemisphere
बढ़त	escalation
हीमोग्लोबिन	hemoglobin
गोबर	dung
उत्पादकता	productivity
कागज़	paper
सांप	snake
सांप	snakes
गंतव्य	destination
गंतव्य	destinations
अम्मा	amma
रेलगाड़ी	train
ट्रेडमार्क	trademark
पीएच	ph
दरगाह	shrine
रतन	rattan
रतन	ratan
घाटियों	valleys
साँप	snake
चिप	chip
सचिवालय	secretariat
इंसुलिन	insulin
सींग	horn
पीसी	pc
पिरामिड	pyramid
शेयरधारकों	shareholders
गेंदों	balls
पिच	pitch
झरना	waterfall
झरना	waterfalls
झरना	fountain
झरना	fountains
सीमांत	border
गुणांक	coefficient
जीभ	tongue
लॉग	logs
लॉग	log
सिलिकॉन	silicon
मानदंड	criterion
मानदंड	yardstick
सहानुभूति	compassion
सहानुभूति	sympathy
सहानुभूति	empathy
लूट	loot
न्यायपालिका	judiciary
मुकुट	crown
यादगार	keepsake
करों	taxes
भुजा	arm
कक्षाओं	classrooms
कक्षाओं	classes
मजबूती	strength
भण्डार	stock
