नरम	soften
उठता	arise
भेजी	sent
नक्काशी	engraving
नक्काशी	carving
डबिंग	dubbing
परिणत	transforms
भूरा	browns
चलाता	executes
चलाता	initiates
चलाता	drives
गिना	counted
शिला	rock
लौटे	returned
भ्रष्ट	corrupted
स्तुति	praise
छीन	snatched
चलना	walking
पहना	wore
तिल	sesame
पतला	skinny
उठाना	raising
मुद्राओं	poses
सूखा	dry
रजिस्टर	registers
अनूदित	translated
टुकड़ा	slice
टुकड़ा	blurs
शोक	mourning
शोक	sorrow
जीती	won
गिने	numbered
गिने	counted
साँस	breathe
निकालकर	removing
प्रत्यारोपण	implant
नाइट्रेट	nitrate
रोकता	prevents
रोकता	stops
समझी	considered
फिल्मांकन	filming
धोखाधड़ी	scammed
दबाने	suppress
दबाने	pressing
जोड़ना	adding
जोड़ना	add
मोह	fascinate
अक्षम	disabled
अक्षम	destitute
पढ़े	read
नियोजित	planned
विधवा	widowed
रोमांचक	thrilling
डालना	pour
संभाल	handle
उल्टी	vomit
उल्टी	vomiting
लड़ा	fought
डूब	sinking
डूब	drowning
खोजा	discovered
खोजा	searched
झरना	falls
अनुमोदित	approved
अनुमोदित	reviewed
समझाया	explained
विनियमित	regulate
संतृप्त	saturated
धीमा	slow
मनोनीत	nominate
मनोनीत	nominated
संकोच	hesitate
गुजर	passing
उभरा	emerged
उभरा	bulging
बढ़ाना	exacerbate
बढ़ाना	enhancing
बढ़ाना	enlarge
समन्वित	coordinated
समन्वित	coordinate
दाखिला	enrolling
निराश	disappointed
निराश	disgusted
निराश	frustrated
निलंबित	suspended
कंपन	vibrate
बचाया	rescued
बचाया	saved
पुकारा	called
घेर	surround
निष्कासन	relegate
बदलना	changing
घूमती	revolving
घूमती	revolves
दबा	suppresses
उत्कीर्ण	engraving
मनोरंजक	entertaining
सजाया	decorated
उभरते	emerging
वर्चस्व	dominated
रुझान	trending
देखिए	see
देखिए	look
भ्रमित	confused
स्थगित	suspend
स्थगित	postponed
स्थगित	pending
शुभारंभ	opening
पकड़ा	grabbed
उल्टा	inverted
चलाना	drive
चलाना	initiate
दूषित	corrupted
जासूसी	spying
प्रचारित	promoted
छोड़ना	eschew
छोड़ना	leave
परवाह	cares
चिंतित	concerned
चिंतित	worried
छुटकारा	disposal
कहें	say
सीखा	learned
फर्क	distinguish
मौन	silenced
मौन	muted
मौन	mute
आवंटित	allotted
लत	addicting
मूक	muted
मूक	mute
प्रतिभाशाली	talented
कच्छ	marsh
पहुँचकर	arrive
पहुँचकर	reach
पढ़ना	reading
पढ़ना	studying
पोषित	nourish
पूछे	asking
पूछे	asked
रो	crying
अनुवादित	translated
गा	sing
गवाही	testify
समाविष्ट	embodied
बर्बाद	wasting
एकजुट	unite
उड़	fly
बताना	tell
अनावरण	unveiled
निषिद्ध	forbidden
निषिद्ध	prohibited
बरसात	rainy
स्वादिष्ट	yummy
सीटी	whistle
बिखरे	scattered
सुनाया	pronounced
उद्धार	deliver
दोहराया	repeated
संग्रहीत	archived
तना	stems
भ्रामक	misleading
भ्रामक	confusing
भ्रामक	illusion
देखो	look
इंतजार	wait
हिम्मत	dare
